input_magnitude,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds
0.0,20,180,27,207,312,0.6634615384615384,4.270552957998007
0.05,20,180,27,207,312,0.6634615384615384,1.5732064170006197
0.1,20,180,27,207,312,0.6634615384615384,1.2088805000021239
0.25,20,180,27,207,312,0.6634615384615384,1.2171358749983483
0.5,20,180,27,207,312,0.6634615384615384,1.0609150829986902
1.0,20,180,27,207,312,0.6634615384615384,1.0165246249998745
1.5,20,180,27,207,312,0.6634615384615384,1.0165287079980772
1.64,20,180,27,207,312,0.6634615384615384,1.0157990000006976
2.0,20,180,27,207,312,0.6634615384615384,1.0067962079992867
3.0,20,180,27,207,312,0.6634615384615384,1.1018397090010694
5.0,20,180,27,207,312,0.6634615384615384,1.0134445000003325
