input_magnitude,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.0,1,aluminum,24,7571.136444050586,9265.434956378738,0.24935165415080865,-7457.228610519122,24.292645275847235
0.0,2,bismuth,24,9053.088609250624,9759.820773087351,0.26265657958230415,9053.088609250624,316.1293230915107
0.0,3,cement,24,116.7779352897852,140.17538746184437,0.00377240409105438,-101.30740925520735,17.66405664490641
0.0,4,copper,24,23763.506409338286,24140.0521909813,1.009047715126765,-23763.506409338286,65.04148988015103
0.0,5,cork,24,213.8522144710192,269.9367999104561,0.00726454698465175,150.37132769125427,90.4650311716237
0.0,6,graphite,24,4792.686719361261,6472.399725390658,0.174185409044431,-1327.9122563368214,36.23524927002511
0.0,7,gypsum,24,392.33925126047626,610.7389937388974,0.016436225504810442,295.3481008110131,41.750736618235464
0.0,8,iron,24,5368.959107091989,6145.213900281495,0.16538017463398372,-2546.7169747508074,28.65296500108892
0.0,9,nickel,24,5773.680292264452,6867.324237856434,0.18481362897276238,-4879.386612290894,32.130311674641106
0.0,10,pdms,24,220.21173257980942,261.1033141390579,0.0070268199594893345,-118.66872104422968,48.48937805063599
0.0,11,ps_foam,24,118.34067466431706,155.64291956432405,0.004189568838690734,118.34067466431706,189.33296263036866
0.0,12,pu_foam,24,119.55347729543529,224.82000316537554,0.006050362442713253,119.12106095001809,179.20055383668054
0.0,13,titanium,24,5875.417119043802,7017.900609838367,0.18886594466074572,4563.798457524059,78.46071165225682
0.0,14,wood,24,2426.816862410026,5242.443348361165,0.1410847873694065,2112.3335075662194,60.93563153030288
0.05,1,aluminum,24,8435.382003747089,9781.727939071241,0.2632461458683508,-8346.187788172116,37.45574175709453
0.05,2,bismuth,24,9078.850521278617,9766.422937354928,0.26283425721846976,9078.850521278617,276.7361720026677
0.05,3,cement,24,113.29131378690131,138.84277348964184,0.0037365407452020177,-24.964826976425872,19.988845711519136
0.05,4,copper,24,24383.175955677532,24804.537290739565,1.036823014299372,-24383.175955677532,64.0342549793137
0.05,5,cork,24,150.94155478694393,180.71074543487433,0.004863292819943648,86.23572018376052,88.89733852333073
0.05,6,graphite,24,3791.7272541481366,4715.1935267612835,0.12689542488555042,-2176.6267169216744,27.63049211730656
0.05,7,gypsum,24,502.95152500654285,741.228993848788,0.019947976170669887,387.5766007533689,56.152660107446664
0.05,8,iron,24,4309.933465156674,5359.491142689462,0.14423478100358247,-956.2006919274567,24.439933698297388
0.05,9,nickel,24,5976.387241963588,6937.103292003656,0.1866915249008656,-4597.331538234904,29.75533549892615
0.05,10,pdms,24,185.96393039429404,224.7852461748167,0.006049427061575729,-185.88877874364508,44.27660339165509
0.05,11,ps_foam,24,134.59159956742135,186.40484025180012,0.005017612829970803,134.59159956742135,304.3758626588246
0.05,12,pu_foam,24,166.62655441164338,351.43164371035687,0.009457738583528308,166.10148868391522,194.5792073472574
0.05,13,titanium,24,5336.196897816982,6441.766391179356,0.17336100386607678,4904.275359108261,68.06295580556494
0.05,14,wood,24,1445.3961794723298,3095.790421099702,0.08331400155952753,1163.560367612606,59.58649921755706
0.1,1,aluminum,24,8690.301318653126,9779.458783932136,0.26318507829946447,-8507.674713085311,36.07855548350798
0.1,2,bismuth,24,9190.992739974363,9879.434058361507,0.2658756157831886,9190.992739974363,280.76554262700364
0.1,3,cement,24,112.59369185075741,139.02573880875124,0.00374146471317405,-29.391318607827788,19.86607532833746
0.1,4,copper,24,24268.22886976716,24672.662199957344,1.031310670830386,-24268.22886976716,63.32510549987453
0.1,5,cork,24,152.86894573322624,181.91110106396084,0.004895596825431906,86.0013613962239,91.26677911980401
0.1,6,graphite,24,3955.1510527895384,4847.568561920094,0.13045790566929352,-2073.0424155029455,27.17327119859472
0.1,7,gypsum,24,527.6362892328207,791.1265110128621,0.021290819599117314,405.67511001206293,56.84263952760412
0.1,8,iron,24,4431.023084981766,5480.24773461075,0.14748458590609895,-942.236058409661,26.567045324976355
0.1,9,nickel,24,6126.635722866366,7045.385432948439,0.18960561701706835,-4695.702469224488,30.776028280429834
0.1,10,pdms,24,184.56333604910353,224.66585362333237,0.006046213965768995,-182.28682560804873,43.0906963200281
0.1,11,ps_foam,24,130.6295465863626,180.23833471923353,0.0048516239144764635,130.6295465863626,262.8007461466679
0.1,12,pu_foam,24,154.2725349816948,321.56003588789326,0.008653833007832951,153.7817289603599,164.4396398024058
0.1,13,titanium,24,5101.662039961077,6166.292086555154,0.1659474313940366,4649.108597498017,63.6828063411197
0.1,14,wood,24,1531.5059223939843,3289.218362652406,0.08851953993006544,1246.5092666697822,59.00153622555205
0.25,1,aluminum,24,8526.705186590732,9809.286188579794,0.26398779427803803,-8346.294965906493,37.57333328177733
0.25,2,bismuth,24,9247.382585080702,9919.15779777911,0.2669446622099854,9247.382585080702,282.1249366175123
0.25,3,cement,24,110.05147063029865,138.5504985828004,0.003728675034436058,-38.66341799679805,17.428013765465707
0.25,4,copper,24,24296.731309477986,24685.69522115616,1.0318554476253086,-24296.731309477986,64.59971006023582
0.25,5,cork,24,156.2731356423235,186.58525510598113,0.005021387794514373,90.25643065205276,80.82946617512373
0.25,6,graphite,24,3714.9018208152543,4679.054680889557,0.1259228552177862,-2222.5977489583497,25.782655200890165
0.25,7,gypsum,24,512.5084159180691,757.9810586332547,0.020398808223791424,397.68508374999163,54.71357866921552
0.25,8,iron,24,4242.831000951369,5284.799456163088,0.1422246761704744,-1019.9028335832724,21.98916565288831
0.25,9,nickel,24,6046.597691352991,6982.820091092781,0.18792185672328107,-4434.744549573879,32.47533973969381
0.25,10,pdms,24,192.16108167957972,227.27766413727633,0.006116503086036581,-183.86607504304968,43.13863992558501
0.25,11,ps_foam,24,139.16632201640613,198.30943928787588,0.005338058741023239,139.16632201640613,244.23968273917174
0.25,12,pu_foam,24,144.3572163866563,267.3792646061854,0.007195718520400328,144.1524295683994,179.6725707682399
0.25,13,titanium,24,5152.620954823817,6075.905488393384,0.16351494464400165,4671.50256078198,68.86671413055888
0.25,14,wood,24,1565.2948660708637,3404.0473924520425,0.09160982210892415,1262.19295456863,60.98275221815776
0.5,1,aluminum,24,8531.7682732064,9819.60391299093,0.2642654651765011,-8163.401401046466,36.30662772834159
0.5,2,bismuth,24,9020.328707991941,9718.999808436962,0.2615580045982341,9020.328707991941,265.7576509943215
0.5,3,cement,24,114.438222824327,140.61705361388064,0.003784290223341872,-27.027530003091453,21.583610925871817
0.5,4,copper,24,24240.86597507315,24655.297563351265,1.0305848336717607,-24240.86597507315,61.466778931691564
0.5,5,cork,24,151.52559564522267,179.3979976267453,0.004827964112874752,86.92792995735401,87.45175346086175
0.5,6,graphite,24,4024.006398435246,5017.963973230533,0.13504359191823906,-1934.8270851671168,29.163865244923358
0.5,7,gypsum,24,571.0701707805365,854.599578651337,0.022999008635486703,457.0552746883054,69.78591630919446
0.5,8,iron,24,4613.303528220037,5739.730682991107,0.15446779853531575,-826.8493193146093,20.989051476619963
0.5,9,nickel,24,6043.924887091627,7054.303477137549,0.18984561968081956,-4533.056140828219,31.991923457140615
0.5,10,pdms,24,183.44997654482768,222.23393137277768,0.005980766003660698,-175.0314559448102,36.32237464358475
0.5,11,ps_foam,24,132.41167332891393,186.441711162537,0.0050186053146858796,132.41167332891393,303.84723752662023
0.5,12,pu_foam,24,157.0951725518996,307.5442515940015,0.008276639814598474,157.0951725518996,190.6527324988524
0.5,13,titanium,24,5361.35928504172,6285.2316834970525,0.1691483372749931,4921.537067685735,78.29925702631616
0.5,14,wood,24,1470.1400502533859,3128.7840588145878,0.08420192729419533,1165.6570922287626,60.751947405944186
1.0,1,aluminum,24,7868.115295360702,9232.913494222079,0.2484764356184522,-7868.115295360702,32.44261233366259
1.0,2,bismuth,24,9097.082800738253,9893.033602662194,0.2662416071136592,9097.082800738253,271.27340930433365
1.0,3,cement,24,148.58031868312364,182.65256144192801,0.0049155510286186775,26.124606905545704,23.325448846342475
1.0,4,copper,24,23549.980677085958,23954.68743091725,1.0012995178102102,-23549.980677085958,61.500339191310246
1.0,5,cork,24,146.78992289373195,172.4126994239593,0.004639975565137742,79.54968567140065,80.08729887703964
1.0,6,graphite,24,3866.0196481504154,4743.650001863765,0.12766124636846096,-1907.9458850124945,32.2863828868037
1.0,7,gypsum,24,487.33527592207025,721.4787110275817,0.019416455986825343,373.44237511995954,54.31634520614716
1.0,8,iron,24,4438.912747111969,5422.235182797357,0.1459233504299144,-283.08443351816845,24.34399485598686
1.0,9,nickel,24,5447.059218518197,6424.547523233944,0.1728976091927553,-3980.137351494452,26.97223391477983
1.0,10,pdms,24,183.62249157101795,218.67643489805505,0.005885026555401223,-178.42002651840505,38.519036543428
1.0,11,ps_foam,24,131.24291266039486,179.2115838032084,0.00482398601321557,131.24291266039486,321.6421039392535
1.0,12,pu_foam,24,143.42887791195872,266.95416178492343,0.0071842781409508045,143.3189071956238,181.1855784299838
1.0,13,titanium,24,4758.327921647819,5686.688432029489,0.1530403239397431,4221.71543445277,57.47577637368846
1.0,14,wood,24,1561.3088443932108,3284.800556107383,0.08840064779225366,1247.128671409586,60.30666707841957
1.5,1,aluminum,24,7984.281941682316,9254.40602871692,0.24905484332984543,-7984.281941682316,31.233674339390728
1.5,2,bismuth,24,8973.961564572888,9681.021501522686,0.2605359313015668,8973.961564572888,261.7868397854736
