leak_rate,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds
0.01,20,180,27,207,312,0.6634615384615384,1.7146057919890154
0.05,20,180,27,207,312,0.6634615384615384,1.528328332991805
0.1,20,180,27,207,312,0.6634615384615384,1.2548873749910854
0.2,20,180,27,207,312,0.6634615384615384,1.2496900830010418
0.3,20,180,27,207,312,0.6634615384615384,1.1902510410000104
0.5,20,180,27,207,312,0.6634615384615384,1.2311649170005694
0.7,20,180,27,207,312,0.6634615384615384,1.2409377910080366
0.9,20,180,27,207,312,0.6634615384615384,1.2005810419796035
1.0,20,180,27,207,312,0.6634615384615384,1.236194750003051
1.5,20,180,27,207,312,0.6634615384615384,1.2273974590061698
