leak_rate,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.01,1,aluminum,24,9405.828353836501,10271.243753026016,0.2764200096445538,-9231.323601567297,39.4849290909953
0.01,2,bismuth,24,8915.772572602402,9470.506044335658,0.2548705332149113,8915.772572602402,285.830658187584
0.01,3,cement,24,124.95212887935361,152.03288767289683,0.00409151348048288,-48.28307508942229,21.246894402780136
0.01,4,copper,24,24751.226977677317,25181.197580849428,1.0525673135290288,-24751.226977677317,67.95458421932568
0.01,5,cork,24,158.1403270100027,190.52383447667546,0.005127382956717824,95.82475648950596,80.00583659831675
0.01,6,graphite,24,4218.570696988031,5127.962887205436,0.13800388587999762,-1304.291020171457,33.06546601972766
0.01,7,gypsum,24,553.2624985219129,904.6375525538247,0.024345632039750154,457.87275668293427,74.49849556447651
0.01,8,iron,24,5129.60635075693,6058.141187911065,0.1630368712744348,-992.5172677195573,24.65457997228522
0.01,9,nickel,24,5898.292976555604,6856.066278637249,0.1845106544478877,-4726.444466837335,29.317404181510863
0.01,10,pdms,24,178.25122200801172,222.18735240288666,0.005979512469072668,-156.485554222432,40.14815242506714
0.01,11,ps_foam,24,198.51971398367334,303.96943461199737,0.008182195982506952,198.51971398367334,393.4481892910247
0.01,12,pu_foam,24,144.72835296247544,268.3236192029222,0.007221133018684526,144.06447819747447,141.2788931426361
0.01,13,titanium,24,5792.116673686468,6790.3974554151855,0.18274337317359787,5153.665434791855,69.7887264131882
0.01,14,wood,24,1731.8042700943522,3677.7135551224565,0.09897473381228604,1382.2960968301352,62.00231901383157
0.05,1,aluminum,24,9210.593056527476,9878.046051583056,0.2658382617045287,-9036.189975265215,40.71734897679751
0.05,2,bismuth,24,8693.252607324624,9337.824572995536,0.25129980561177323,8693.252607324624,266.9055139314994
0.05,3,cement,24,121.95308808405655,154.6326333230501,0.00416147791078637,-24.137040636772003,15.573679996878692
0.05,4,copper,24,24627.57472548005,25035.487065940386,1.0464766530376715,-24627.57472548005,64.3825956740151
0.05,5,cork,24,150.71415423182114,180.3311044485362,0.0048530759107135325,85.9611245971417,83.73653819710628
0.05,6,graphite,24,3671.3140265403476,4619.738049928172,0.12432652432576566,-1413.2483498155543,23.338664011190918
0.05,7,gypsum,24,523.6402270600369,807.3930769317345,0.021728585892693376,428.2984364196015,80.81476638949587
0.05,8,iron,24,4908.8458730551065,5877.218458917894,0.1581678735468249,-894.671530686137,27.17253871256462
0.05,9,nickel,24,5946.174242831646,7010.508477456017,0.18866700737977415,-4558.995872002265,33.416955832381355
0.05,10,pdms,24,186.9312316475233,225.5339473322357,0.006069576128829019,-171.92917299684606,44.047515281709806
0.05,11,ps_foam,24,199.31893258125024,313.4470607102579,0.008437313061248362,199.31893258125024,384.16324350052025
0.05,12,pu_foam,24,150.1392173767445,264.793347156706,0.007126126235034251,149.3837992919334,129.5728385312972
0.05,13,titanium,24,5189.020787455999,6126.159414487835,0.16486737975991567,4694.124493765379,73.49375936601967
0.05,14,wood,24,1592.677891399182,3378.211024400056,0.09091451302291338,1249.793515021833,59.860193113481294
0.1,1,aluminum,24,8709.601581104298,9423.192463530864,0.2535972287566731,-8663.407050189262,36.627221954642245
0.1,2,bismuth,24,8834.98059058743,9512.24152754802,0.2559937197490331,8834.98059058743,261.6623465053274
0.1,3,cement,24,174.5700017330274,202.3573778727529,0.005445847619647207,-4.30930346432735,26.095591431956024
0.1,4,copper,24,24113.997512616555,24518.975438787267,1.0248866053819345,-24113.997512616555,63.513862431658616
0.1,5,cork,24,156.042916167627,186.82794281114732,0.005027919013071316,90.52311205828579,85.91764322228093
0.1,6,graphite,24,3627.024612426758,4495.711811966333,0.12098872661421889,-1657.0932645697865,25.822894225461745
0.1,7,gypsum,24,885.9757472745415,1649.0659789483393,0.04437971143184211,799.1458258527205,74.51978545215651
0.1,8,iron,24,4743.656009508887,5772.274381522439,0.15534361549363204,-571.2403749515449,24.617403051890737
0.1,9,nickel,24,6216.142877372363,7172.435745990665,0.19302479872484635,-4933.625008829521,33.55066443247489
0.1,10,pdms,24,187.10685273798018,223.90525639636692,0.006025744751147206,-174.06934494856387,46.18099910770951
0.1,11,ps_foam,24,166.08768605890018,243.60519562615218,0.006557321973883265,166.08768605890018,380.8893218039849
0.1,12,pu_foam,24,127.43343930777819,213.9807903974367,0.005758657234473956,126.67561319531815,144.97345724250147
0.1,13,titanium,24,5004.666515473923,5795.563726956431,0.15597037903310923,4232.090171662515,62.73614937822868
0.1,14,wood,24,1274.0892268144923,2797.7525139052723,0.07529319676099903,927.8956429447389,58.93147097343394
0.2,1,aluminum,24,8385.167899192405,9288.859980723899,0.2499820690850765,-8261.20654970098,34.57631021954497
0.2,2,bismuth,24,8927.393483246933,9497.765807707066,0.2556041487570226,8927.393483246933,282.91746674253983
0.2,3,cement,24,152.80565067052302,182.00371430970188,0.0048980892357861445,12.637971273560566,24.640962237815913
0.2,4,copper,24,24276.747990725282,24670.58762981129,1.0312239543540014,-24276.747990725282,63.527357166573154
0.2,5,cork,24,146.82510591226844,175.90529110853367,0.004733968293803159,85.40356808203187,85.12102655053309
0.2,6,graphite,24,3444.2669084337017,4271.615314473693,0.11495783517714471,-833.82565931805,23.439781671431543
0.2,7,gypsum,24,949.5355021760037,1756.7191159942743,0.047276875776884254,847.5851918754664,55.810378530263414
0.2,8,iron,24,4514.972188572472,5722.524141698885,0.15400473559724226,-579.8797148224215,22.066047833186843
0.2,9,nickel,24,6453.8711219006545,7435.174389256833,0.20009562870921263,-5135.446494560859,32.35493752225196
0.2,10,pdms,24,187.35787538997872,226.80443520964707,0.006103767535417327,-170.50618956238088,45.85562044017022
0.2,11,ps_foam,24,165.5347928421077,233.58527131907195,0.006287607406972728,165.5347928421077,418.305653491176
0.2,12,pu_foam,24,115.20098486112711,176.56571782470488,0.004751741716734514,114.63838106124088,146.30650644810382
0.2,13,titanium,24,5176.1856160869875,6109.329192730243,0.16441444434406763,4636.195921852402,70.58277985634065
0.2,14,wood,24,1703.2975223187443,3717.2496219420063,0.10003872958868341,1356.1525582491347,62.38731794325807
0.3,1,aluminum,24,8727.536756682097,9488.462018933937,0.2553537649238435,-8245.505474464977,36.858728336946875
