leak_rate,n,mae,rmse,nrmse_range,r2,median_ape_pct,fold_nrmse_sd,evaluation_seconds,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds,J_exploratory
0.01,336,4800.076651111645,8451.5889742161,0.2274494074854716,0.4314027011572935,57.93224760790954,0.27166197673150416,13.78471554198768,20,180,27,207,312,0.6634615384615384,1.7146057919890154,0.3114753350428927
0.05,336,4655.153575828276,8308.545355461467,0.22359981347071575,0.45048690470831265,55.02799014567834,0.27018898223571114,13.748613792005926,20,180,27,207,312,0.6634615384615384,1.528328332991805,0.3055700212234556
0.1,336,4587.241112084612,8149.497693025708,0.21931951816845657,0.4713238255075576,55.04310724679704,0.26425673901852986,13.528751833015122,20,180,27,207,312,0.6634615384615384,1.2548873749910854,0.29861280951955377
0.2,336,4614.225903023514,8219.460023201167,0.22120234642634484,0.46220763590926484,54.210693738935674,0.2653098958656536,14.907554583973251,20,180,27,207,312,0.6634615384615384,1.2496900830010418,0.3015125724219837
0.3,336,4520.978479501568,8116.52526861499,0.2184321633268455,0.475593161344007,51.38468316173454,0.2639391000537903,14.10283754201373,20,180,27,207,312,0.6634615384615384,1.1902510410000104,0.29726675719782386
0.5,336,4525.026932871369,8133.280580821483,0.21888308277468277,0.47342581280430607,55.29612918949866,0.2640763799357614,13.448509541980457,20,180,27,207,312,0.6634615384615384,1.2311649170005694,0.29794813948782833
0.7,336,4572.554998097763,8194.163453392852,0.22052156440631648,0.4655128086200242,52.06144102432943,0.2645152840375138,13.574784208001802,20,180,27,207,312,0.6634615384615384,1.2409377910080366,0.30042181194806544
0.9,336,4772.3979796811145,8411.450195211799,0.2263691915012856,0.4367907070579493,54.354609553218225,0.26842063720461434,13.519940541998949,20,180,27,207,312,0.6634615384615384,1.2005810419796035,0.3095321845159521
1.0,336,4690.766811243486,8345.635812215185,0.2245979929181233,0.44556975396283816,53.162823377959654,0.2703470095236616,13.54372733301716,20,180,27,207,312,0.6634615384615384,1.236194750003051,0.3070757184742056
1.5,336,4756.742705655539,8402.622174584003,0.22613161155422623,0.4379722902596891,57.3171747958229,0.27097159004051574,12.159865333000198,20,180,27,207,312,0.6634615384615384,1.2273974590061698,0.3094315415323089
