res_size,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
5,1,aluminum,24,8128.629801391078,9383.70677051637,0.25253458864157774,-7937.408220029755,32.81960997510301
5,2,bismuth,24,9273.396575694851,9882.02942180506,0.26594546227942106,9273.396575694851,293.375703624868
5,3,cement,24,149.02246361148605,161.3999357973684,0.004343599751159166,-63.705496014986544,26.857796026231483
5,4,copper,24,24168.033189360805,24561.2225418642,1.0266525229737131,-24168.033189360805,64.85670036629789
5,5,cork,24,182.8815192286752,220.58098788504805,0.005936281940600125,117.26942267944351,89.05980966253175
5,6,graphite,24,4078.8297413976616,4844.8230196765435,0.13038401755684187,-857.2224658230411,36.33406702339551
5,7,gypsum,24,686.0598361298611,1215.145100501221,0.032702020171717076,602.9766251674314,53.620373546568224
5,8,iron,24,5102.506653090702,6046.184481441914,0.16271509204331236,-1032.0996448354429,25.404575830720756
5,9,nickel,24,5729.815980027825,6660.580596335745,0.17924973809866426,-4476.764860717542,27.98590518533305
5,10,pdms,24,189.22179400279325,224.46901438725178,0.00604091662254123,-159.17417939917965,43.940947941361785
5,11,ps_foam,24,125.36314475546548,165.19113058465894,0.004446585909997381,125.36314475546548,257.13287061947
5,12,pu_foam,24,111.0957607366965,183.5927082205624,0.00494085228598012,110.70715119685444,174.51592799176598
5,13,titanium,24,4601.5280640036535,5247.039378590827,0.14120847586818597,3840.273341557262,59.29302934120144
5,14,wood,24,2416.062595353243,4965.3813436316705,0.13362848666610527,2083.497362059254,62.70788874329916
10,1,aluminum,24,8523.910936102451,9523.699145108892,0.2563020674849874,-8231.357594758489,35.69335191793056
10,2,bismuth,24,8944.551933903402,9630.584849498384,0.25917857866013144,8944.551933903402,280.00886023700724
10,3,cement,24,141.78118676449438,155.6501837092155,0.004188862256277615,-33.02513734019539,24.876680574079884
10,4,copper,24,24365.038285796352,24774.58219672602,1.035570899393752,-24365.038285796352,66.51817412450114
10,5,cork,24,185.5547503778749,229.85515252647124,0.006185868528287924,124.31788562882231,88.25139579116652
10,6,graphite,24,3653.781357472965,4405.01049247073,0.11854777007452409,-1467.7864137125814,25.166846538112132
10,7,gypsum,24,1124.728433669127,2066.3454011353288,0.055609547338659124,1029.3138217294565,62.99307750450704
10,8,iron,24,4840.982252720905,5761.71339707104,0.1550593979739133,-1176.942703103672,24.942813581731254
10,9,nickel,24,6131.450847207433,7184.280611538779,0.19334356808985959,-4857.699525973619,32.00460897966108
10,10,pdms,24,179.06639098583045,219.0266089894069,0.005894450450699223,-167.48225064161804,42.43614554165107
10,11,ps_foam,24,138.91777562595507,188.97389542667517,0.005086766207044828,138.91777562595507,368.9891134687769
10,12,pu_foam,24,114.95122736742026,175.8878647377122,0.004733499314806421,114.75742574411551,135.35672377783322
10,13,titanium,24,5803.830303116414,6974.014561111844,0.18768488204516198,5116.059247183348,72.77228166219399
10,14,wood,24,1344.821445027044,2826.3709199907453,0.07606337613521821,1003.2185589756227,63.025802601563186
20,1,aluminum,24,8727.536756682097,9488.462018933937,0.2553537649238435,-8245.505474464977,36.858728336946875
20,2,bismuth,24,8619.14433434828,9176.45211240449,0.2469569452741631,8619.14433434828,270.6421229812457
