condition,fold,held_out_material,seed,candidate_predictors,retained_predictors,retention_fraction
A_raw_ESN_states,1,aluminum,42,620,620,1.0
A_raw_ESN_states,1,aluminum,43,620,620,1.0
A_raw_ESN_states,1,aluminum,44,620,620,1.0
B_summarized_ESN_states,1,aluminum,42,180,180,1.0
B_summarized_ESN_states,1,aluminum,43,180,180,1.0
B_summarized_ESN_states,1,aluminum,44,180,180,1.0
C_raw_ESN_plus_thermal,1,aluminum,42,647,647,1.0
C_raw_ESN_plus_thermal,1,aluminum,43,647,647,1.0
C_raw_ESN_plus_thermal,1,aluminum,44,647,647,1.0
D_summarized_ESN_plus_thermal,1,aluminum,42,207,207,1.0
D_summarized_ESN_plus_thermal,1,aluminum,43,207,207,1.0
D_summarized_ESN_plus_thermal,1,aluminum,44,207,207,1.0
E_thermal_features_only,1,aluminum,42,27,27,1.0
E_thermal_features_only,1,aluminum,43,27,27,1.0
E_thermal_features_only,1,aluminum,44,27,27,1.0
F_optimized_summarized_ESN,1,aluminum,42,180,39,0.21666666666666667
F_optimized_summarized_ESN,1,aluminum,43,180,35,0.19444444444444445
F_optimized_summarized_ESN,1,aluminum,44,180,31,0.17222222222222222
G_optimized_summarized_ESN_plus_thermal,1,aluminum,42,207,47,0.22705314009661837
G_optimized_summarized_ESN_plus_thermal,1,aluminum,43,207,44,0.21256038647342995
G_optimized_summarized_ESN_plus_thermal,1,aluminum,44,207,39,0.18840579710144928
A_raw_ESN_states,2,bismuth,42,620,620,1.0
A_raw_ESN_states,2,bismuth,43,620,620,1.0
A_raw_ESN_states,2,bismuth,44,620,620,1.0
B_summarized_ESN_states,2,bismuth,42,180,180,1.0
B_summarized_ESN_states,2,bismuth,43,180,180,1.0
B_summarized_ESN_states,2,bismuth,44,180,180,1.0
C_raw_ESN_plus_thermal,2,bismuth,42,647,647,1.0
C_raw_ESN_plus_thermal,2,bismuth,43,647,647,1.0
C_raw_ESN_plus_thermal,2,bismuth,44,647,647,1.0
D_summarized_ESN_plus_thermal,2,bismuth,42,207,207,1.0
D_summarized_ESN_plus_thermal,2,bismuth,43,207,207,1.0
D_summarized_ESN_plus_thermal,2,bismuth,44,207,207,1.0
E_thermal_features_only,2,bismuth,42,27,27,1.0
E_thermal_features_only,2,bismuth,43,27,27,1.0
E_thermal_features_only,2,bismuth,44,27,27,1.0
F_optimized_summarized_ESN,2,bismuth,42,180,39,0.21666666666666667
F_optimized_summarized_ESN,2,bismuth,43,180,35,0.19444444444444445
F_optimized_summarized_ESN,2,bismuth,44,180,32,0.17777777777777778
G_optimized_summarized_ESN_plus_thermal,2,bismuth,42,207,47,0.22705314009661837
G_optimized_summarized_ESN_plus_thermal,2,bismuth,43,207,44,0.21256038647342995
G_optimized_summarized_ESN_plus_thermal,2,bismuth,44,207,39,0.18840579710144928
A_raw_ESN_states,3,cement,42,620,620,1.0
A_raw_ESN_states,3,cement,43,620,620,1.0
A_raw_ESN_states,3,cement,44,620,620,1.0
B_summarized_ESN_states,3,cement,42,180,180,1.0
B_summarized_ESN_states,3,cement,43,180,180,1.0
B_summarized_ESN_states,3,cement,44,180,180,1.0
C_raw_ESN_plus_thermal,3,cement,42,647,647,1.0
C_raw_ESN_plus_thermal,3,cement,43,647,647,1.0
C_raw_ESN_plus_thermal,3,cement,44,647,647,1.0
D_summarized_ESN_plus_thermal,3,cement,42,207,207,1.0
D_summarized_ESN_plus_thermal,3,cement,43,207,207,1.0
D_summarized_ESN_plus_thermal,3,cement,44,207,207,1.0
E_thermal_features_only,3,cement,42,27,27,1.0
E_thermal_features_only,3,cement,43,27,27,1.0
E_thermal_features_only,3,cement,44,27,27,1.0
F_optimized_summarized_ESN,3,cement,42,180,36,0.2
F_optimized_summarized_ESN,3,cement,43,180,34,0.18888888888888888
F_optimized_summarized_ESN,3,cement,44,180,29,0.16111111111111112
G_optimized_summarized_ESN_plus_thermal,3,cement,42,207,42,0.2028985507246377
G_optimized_summarized_ESN_plus_thermal,3,cement,43,207,41,0.19806763285024154
G_optimized_summarized_ESN_plus_thermal,3,cement,44,207,35,0.16908212560386474
