condition,fold,held_out_material,seed,feature,feature_family,training_abs_spearman_to_log_target
F_optimized_summarized_ESN,1,aluminum,42,esn_u013_max,ESN:max,0.8034867027579314
F_optimized_summarized_ESN,1,aluminum,42,esn_u003_max,ESN:max,0.7942516606966638
F_optimized_summarized_ESN,1,aluminum,42,esn_u003_initial,ESN:initial,0.7534881279730868
F_optimized_summarized_ESN,1,aluminum,42,esn_u007_initial,ESN:initial,0.741238144270808
F_optimized_summarized_ESN,1,aluminum,42,esn_u012_initial,ESN:initial,0.7388318974721462
F_optimized_summarized_ESN,1,aluminum,42,esn_u016_initial,ESN:initial,0.7295873445539668
F_optimized_summarized_ESN,1,aluminum,42,esn_u015_initial,ESN:initial,0.7174800237053636
F_optimized_summarized_ESN,1,aluminum,42,esn_u007_min,ESN:min,0.697821082468865
F_optimized_summarized_ESN,1,aluminum,42,esn_u000_max,ESN:max,0.6560113554850003
F_optimized_summarized_ESN,1,aluminum,42,esn_u008_initial,ESN:initial,0.5384476531993884
F_optimized_summarized_ESN,1,aluminum,42,esn_u001_initial,ESN:initial,0.49292869201995787
F_optimized_summarized_ESN,1,aluminum,42,esn_u005_initial,ESN:initial,0.47105372112303145
F_optimized_summarized_ESN,1,aluminum,42,esn_u002_initial,ESN:initial,0.4671828023599666
F_optimized_summarized_ESN,1,aluminum,42,esn_u010_mean,ESN:mean,0.4573295545994381
F_optimized_summarized_ESN,1,aluminum,42,esn_u006_min,ESN:min,0.4546379820934249
F_optimized_summarized_ESN,1,aluminum,42,esn_u006_net_change,ESN:net_change,0.3913242076321905
F_optimized_summarized_ESN,1,aluminum,42,esn_u001_mean,ESN:mean,0.3886897002676476
F_optimized_summarized_ESN,1,aluminum,42,esn_u008_abs_auc,ESN:abs_auc,0.3749179794594956
F_optimized_summarized_ESN,1,aluminum,42,esn_u001_max,ESN:max,0.3635525054500056
F_optimized_summarized_ESN,1,aluminum,42,esn_u003_std,ESN:std,0.3509791526127288
F_optimized_summarized_ESN,1,aluminum,42,esn_u017_initial,ESN:initial,0.33913813575765334
F_optimized_summarized_ESN,1,aluminum,42,esn_u003_slope,ESN:slope,0.31526588490926843
F_optimized_summarized_ESN,1,aluminum,42,esn_u011_std,ESN:std,0.3021979675125828
F_optimized_summarized_ESN,1,aluminum,42,esn_u016_std,ESN:std,0.3012944361059706
F_optimized_summarized_ESN,1,aluminum,42,esn_u002_max,ESN:max,0.2876273347238475
F_optimized_summarized_ESN,1,aluminum,42,esn_u015_abs_auc,ESN:abs_auc,0.27939093263830905
F_optimized_summarized_ESN,1,aluminum,42,esn_u002_abs_auc,ESN:abs_auc,0.27872517265448954
F_optimized_summarized_ESN,1,aluminum,42,esn_u016_slope,ESN:slope,0.26990860829733704
F_optimized_summarized_ESN,1,aluminum,42,esn_u006_slope,ESN:slope,0.25285564185464615
F_optimized_summarized_ESN,1,aluminum,42,esn_u011_slope,ESN:slope,0.22516002652775494
F_optimized_summarized_ESN,1,aluminum,42,esn_u003_abs_auc,ESN:abs_auc,0.21700922215442192
F_optimized_summarized_ESN,1,aluminum,42,esn_u006_std,ESN:std,0.20866820064285474
F_optimized_summarized_ESN,1,aluminum,42,esn_u000_abs_auc,ESN:abs_auc,0.1754182448795266
F_optimized_summarized_ESN,1,aluminum,42,esn_u011_net_change,ESN:net_change,0.12814928602834208
F_optimized_summarized_ESN,1,aluminum,42,esn_u004_max,ESN:max,0.1277878734656972
F_optimized_summarized_ESN,1,aluminum,42,esn_u010_slope,ESN:slope,0.05772139059715066
F_optimized_summarized_ESN,1,aluminum,42,esn_u006_abs_auc,ESN:abs_auc,0.04775401255368157
F_optimized_summarized_ESN,1,aluminum,42,esn_u015_mean,ESN:mean,0.03238446778436283
F_optimized_summarized_ESN,1,aluminum,42,esn_u016_abs_auc,ESN:abs_auc,0.01965894123649867
F_optimized_summarized_ESN,1,aluminum,43,esn_u003_max,ESN:max,0.8007761085380948
F_optimized_summarized_ESN,1,aluminum,43,esn_u013_initial,ESN:initial,0.7780071170914679
F_optimized_summarized_ESN,1,aluminum,43,esn_u011_min,ESN:min,0.7549242673667546
F_optimized_summarized_ESN,1,aluminum,43,esn_u006_initial,ESN:initial,0.7430071636563856
F_optimized_summarized_ESN,1,aluminum,43,esn_u015_initial,ESN:initial,0.7137612786528862
F_optimized_summarized_ESN,1,aluminum,43,esn_u016_initial,ESN:initial,0.614972007910984
F_optimized_summarized_ESN,1,aluminum,43,esn_u018_initial,ESN:initial,0.6097790800371918
F_optimized_summarized_ESN,1,aluminum,43,esn_u016_max,ESN:max,0.5814367264403046
F_optimized_summarized_ESN,1,aluminum,43,esn_u003_initial,ESN:initial,0.5760345597144549
F_optimized_summarized_ESN,1,aluminum,43,esn_u012_max,ESN:max,0.5581446378635337
F_optimized_summarized_ESN,1,aluminum,43,esn_u010_initial,ESN:initial,0.5328552693353045
F_optimized_summarized_ESN,1,aluminum,43,esn_u007_std,ESN:std,0.45751977173767217
F_optimized_summarized_ESN,1,aluminum,43,esn_u007_initial,ESN:initial,0.4413418041308584
F_optimized_summarized_ESN,1,aluminum,43,esn_u000_initial,ESN:initial,0.3918092613346876
F_optimized_summarized_ESN,1,aluminum,43,esn_u007_max,ESN:max,0.391371761916749
F_optimized_summarized_ESN,1,aluminum,43,esn_u012_mean,ESN:mean,0.3691163567433543
F_optimized_summarized_ESN,1,aluminum,43,esn_u008_initial,ESN:initial,0.3629057671800095
F_optimized_summarized_ESN,1,aluminum,43,esn_u003_abs_auc,ESN:abs_auc,0.35818838215180276
F_optimized_summarized_ESN,1,aluminum,43,esn_u013_slope,ESN:slope,0.3505226314809668
F_optimized_summarized_ESN,1,aluminum,43,esn_u004_abs_auc,ESN:abs_auc,0.2647442129942801
F_optimized_summarized_ESN,1,aluminum,43,esn_u019_abs_auc,ESN:abs_auc,0.2564127023396246
F_optimized_summarized_ESN,1,aluminum,43,esn_u019_max,ESN:max,0.24498065233175265
F_optimized_summarized_ESN,1,aluminum,43,esn_u015_max,ESN:max,0.23831354163664595
F_optimized_summarized_ESN,1,aluminum,43,esn_u018_min,ESN:min,0.2346803942963738
F_optimized_summarized_ESN,1,aluminum,43,esn_u015_mean,ESN:mean,0.2313420835203646
F_optimized_summarized_ESN,1,aluminum,43,esn_u015_slope,ESN:slope,0.197683160909833
F_optimized_summarized_ESN,1,aluminum,43,esn_u014_net_change,ESN:net_change,0.17619813514628657
