condition,feature_family,selection_count,selection_frequency
F_optimized_summarized_ESN,ESN:abs_auc,42,1.0
F_optimized_summarized_ESN,ESN:initial,42,1.0
F_optimized_summarized_ESN,ESN:max,42,1.0
F_optimized_summarized_ESN,ESN:mean,42,1.0
F_optimized_summarized_ESN,ESN:mean_abs,14,0.3333333333333333
F_optimized_summarized_ESN,ESN:min,42,1.0
F_optimized_summarized_ESN,ESN:net_change,42,1.0
F_optimized_summarized_ESN,ESN:slope,42,1.0
F_optimized_summarized_ESN,ESN:std,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:abs_auc,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:initial,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:max,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:mean,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:mean_abs,14,0.3333333333333333
G_optimized_summarized_ESN_plus_thermal,ESN:min,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:net_change,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:slope,42,1.0
G_optimized_summarized_ESN_plus_thermal,ESN:std,42,1.0
G_optimized_summarized_ESN_plus_thermal,Thermal:cross_sensor,42,1.0
G_optimized_summarized_ESN_plus_thermal,Thermal:early_slope,42,1.0
G_optimized_summarized_ESN_plus_thermal,Thermal:final_change,29,0.6904761904761905
G_optimized_summarized_ESN_plus_thermal,Thermal:late_slope,42,1.0
G_optimized_summarized_ESN_plus_thermal,Thermal:max_abs_change,2,0.047619047619047616
G_optimized_summarized_ESN_plus_thermal,Thermal:max_abs_rate,33,0.7857142857142857
G_optimized_summarized_ESN_plus_thermal,Thermal:middle_slope,30,0.7142857142857143
G_optimized_summarized_ESN_plus_thermal,Thermal:rate_auc,5,0.11904761904761904
G_optimized_summarized_ESN_plus_thermal,Thermal:response_auc,7,0.16666666666666666
