spectral_radius,reservoir_units,esn_predictors,thermal_predictors,total_predictors,outer_training_trials,predictor_to_training_trial_ratio,feature_generation_seconds
0.0,20,180,27,207,312,0.6634615384615384,1.3478176659991732
0.1,20,180,27,207,312,0.6634615384615384,2.0417448340012925
0.3,20,180,27,207,312,0.6634615384615384,1.5656081670022104
0.5,20,180,27,207,312,0.6634615384615384,1.2417225419994793
0.7,20,180,27,207,312,0.6634615384615384,1.1608073750030599
0.9,20,180,27,207,312,0.6634615384615384,1.1366196669987403
1.0,20,180,27,207,312,0.6634615384615384,1.126648750003369
1.2,20,180,27,207,312,0.6634615384615384,1.1461050829966553
1.5,20,180,27,207,312,0.6634615384615384,1.134875292002107
2.0,20,180,27,207,312,0.6634615384615384,1.1254295830003684
