spectral_radius,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
0.0,1,aluminum,24,8856.686745492318,9617.09798076696,0.25881561965784733,-8600.971218483532,35.36718426654341
0.0,2,bismuth,24,8947.514783838296,9610.3925794677,0.2586351637036923,8947.514783838296,278.0723369854737
0.0,3,cement,24,164.05267221940082,192.98512625039825,0.005193621312285042,-11.32019866357322,25.036555713202624
0.0,4,copper,24,24347.144773494376,24757.117493827544,1.0348408794909094,-24347.144773494376,66.7716530075015
0.0,5,cork,24,160.43219501602118,191.1333346692198,0.005143785843568973,97.01087089858076,89.0737514119792
0.0,6,graphite,24,3994.1635548240433,4753.34177011439,0.1279220715165859,-1764.7113845513395,27.095978060391325
0.0,7,gypsum,24,529.4417767896674,829.6119425002142,0.022326540646996698,436.23524765481744,65.86628629195921
0.0,8,iron,24,4526.540962018204,5787.152842265353,0.15574402506047155,-1325.1704388350088,19.612870199650022
0.0,9,nickel,24,5483.270461364631,6556.646663052386,0.1764526650731002,-4176.759191229696,26.80077627113347
0.0,10,pdms,24,183.13314643957597,226.01288672365928,0.006082465359615452,-169.18270275741872,46.0758713446074
0.0,11,ps_foam,24,179.98029899301272,267.85784910975093,0.007210150651055804,179.98029899301272,380.494254588643
0.0,12,pu_foam,24,149.49443077428398,261.564090304986,0.007039220381024682,149.09682480076,161.35440131912793
0.0,13,titanium,24,5761.965804554129,6608.066669984624,0.17783648179032538,4842.5564226119495,72.83226754750818
0.0,14,wood,24,1704.5317549033798,3543.5334167101732,0.09536367403745558,1352.9106360825224,60.96410366510045
0.1,1,aluminum,24,8789.229931256208,9702.812428836662,0.26112236936915906,-8476.721326990475,37.36606627137498
0.1,2,bismuth,24,9120.353949419894,9837.320938109726,0.2647422662701143,9120.353949419894,288.49581150561977
0.1,3,cement,24,163.75618462310086,202.68383734528103,0.005454633306435937,14.00639028499449,25.0578934835315
0.1,4,copper,24,24467.155464819243,24916.650854398504,1.0415093312281745,-24467.155464819243,64.95496244684112
0.1,5,cork,24,158.33556751569904,187.1033160103608,0.0050353298645916126,93.70577051058369,85.10515231855027
0.1,6,graphite,24,3824.8496510154496,4714.068332551187,0.12686514362634896,-1746.4073820014266,25.813164105338572
