condition,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,1,aluminum,24,9546.577589197506,10490.947379864556,0.2823326800192356,-9546.577589197506,40.76859643024859
B_baseline_centered,1,aluminum,24,11190.637405346053,12484.769866514996,0.33599048858083985,-11190.637405346053,40.89910961898037
C_per_trial_minmax_-1_to_0,1,aluminum,24,10733.035578364497,11904.621425827912,0.32037751692657923,-10531.459157258489,48.40041668237319
A_not_baseline_centered,2,bismuth,24,8646.358908847724,9192.425474276808,0.2473868208519383,8354.570089319253,317.2467702297381
B_baseline_centered,2,bismuth,24,9222.880792655063,10285.61869906652,0.2768068686091252,8727.211350525986,328.03261727004576
C_per_trial_minmax_-1_to_0,2,bismuth,24,10968.154688393823,11983.744936135867,0.3225068911297756,10757.349344020657,395.23724051732785
A_not_baseline_centered,3,cement,24,1533.9233927445832,2694.755439168508,0.07252133649980044,1338.5042146359872,33.38209868599177
B_baseline_centered,3,cement,24,1315.9473329073987,2250.765570304418,0.06057266827767407,1235.3898796818314,41.86401144165456
C_per_trial_minmax_-1_to_0,3,cement,24,230.27298606286521,241.73338505791324,0.006505535866523775,-230.27298606286521,39.24496236191326
A_not_baseline_centered,4,copper,24,24820.546557755442,25182.260477576496,1.0526117423274994,-24820.546557755442,64.37834774484512
B_baseline_centered,4,copper,24,25607.511347251973,25909.251431310047,1.082999769452674,-25607.511347251973,69.68158557802946
C_per_trial_minmax_-1_to_0,4,copper,24,26139.27960693622,26420.038728017582,1.1043505416291761,-26139.27960693622,72.8975047094595
A_not_baseline_centered,5,cork,24,103.92582798106713,119.8010822480644,0.003224090198490499,57.218122651168215,68.34303873205738
B_baseline_centered,5,cork,24,176.6748666335072,231.283028048881,0.006224295555741093,141.3792758617022,110.75551456059365
C_per_trial_minmax_-1_to_0,5,cork,24,206.71545925199158,252.26137197912772,0.006788865355753596,173.54410194504547,140.367873059223
A_not_baseline_centered,6,graphite,24,3579.3022879204677,4595.022328930514,0.12366137412576851,-815.9336245754826,20.16635076116752
B_baseline_centered,6,graphite,24,2823.6767923823622,3401.669337046229,0.09154582381290313,173.98072190753615,23.203598678272186
C_per_trial_minmax_-1_to_0,6,graphite,24,4863.026558005998,5828.952201360831,0.15686893062421153,951.5148973564836,36.588943664784566
A_not_baseline_centered,7,gypsum,24,1768.8026147719145,3423.734500684696,0.09213964213641014,1645.4176682794443,47.447613195197945
B_baseline_centered,7,gypsum,24,2068.496131563295,3195.503755816418,0.08599748971411106,1895.0280489819927,323.6645969491838
C_per_trial_minmax_-1_to_0,7,gypsum,24,182.75353048653287,267.4221731123704,0.007196873275362695,108.77257097075574,33.736768892307886
A_not_baseline_centered,8,iron,24,3795.482095966161,4953.320667045757,0.13330390938818643,1729.1469711042275,18.36892909171352
B_baseline_centered,8,iron,24,5538.429304852193,6643.372518640122,0.17878663381285786,-2989.3291539771526,29.86913588591278
C_per_trial_minmax_-1_to_0,8,iron,24,4960.137540239114,6174.11587967186,0.16615798554120495,-3881.81283385454,25.452653388641593
A_not_baseline_centered,9,nickel,24,5191.177009929381,5875.172373224491,0.15811280922932805,-3263.501466891588,28.496120796397555
B_baseline_centered,9,nickel,24,6392.122922779071,7710.031852721775,0.20749260073409262,-6125.245888956476,33.594986432588705
C_per_trial_minmax_-1_to_0,9,nickel,24,6701.880521997329,7340.919451706721,0.19755903709741557,-6385.591826049575,35.05278708107803
A_not_baseline_centered,10,pdms,24,169.59702893408678,212.81550473090627,0.005727297032834686,-134.42489073425585,33.827543686293446
B_baseline_centered,10,pdms,24,279.5127334689929,411.8939131650182,0.011084900931891939,0.7198290783492448,52.799495499410185
C_per_trial_minmax_-1_to_0,10,pdms,24,257.1749428474772,281.9116701692665,0.007586815040208065,-247.56357191785688,57.80220078943024
A_not_baseline_centered,11,ps_foam,24,151.88011073770267,230.7404591268605,0.006211031250821334,151.88011073770267,215.73120666356135
B_baseline_centered,11,ps_foam,24,118.10354163819402,139.89248878879857,0.0037656015027026316,118.10354163819402,287.6255110870149
C_per_trial_minmax_-1_to_0,11,ps_foam,24,136.98032929866324,164.01375364286685,0.004414893483766026,136.98032929866324,350.9657171599263
A_not_baseline_centered,12,pu_foam,24,168.69053669866202,327.6587385463395,0.008817961470578305,168.69053669866202,224.75803458389936
B_baseline_centered,12,pu_foam,24,216.29239632119345,525.5238171547303,0.014142912202191348,216.29239632119345,247.00120077092595
C_per_trial_minmax_-1_to_0,12,pu_foam,24,348.7189417903196,450.5849057680196,0.01212615404647489,348.7189417903196,669.4966823974805
A_not_baseline_centered,13,titanium,24,5311.706825604478,7364.130529312839,0.19818369429084,4828.5812435754915,41.11654598734195
B_baseline_centered,13,titanium,24,4702.256848153577,5592.787285623501,0.15051325356547307,2540.931821883597,61.48031537195566
C_per_trial_minmax_-1_to_0,13,titanium,24,6472.432125813054,7483.488032837107,0.20139584688585638,6012.197127296738,79.49906082481762
A_not_baseline_centered,14,wood,24,525.7518938770398,821.1029008418096,0.022097545071208792,175.1844461512887,64.1788229357591
B_baseline_centered,14,wood,24,3375.554474346696,6780.463323245514,0.18247602552065742,3047.2623430111994,73.94857331409186
C_per_trial_minmax_-1_to_0,14,wood,24,1038.1496036694473,1501.7394075192092,0.040414854470547476,840.4108858922115,151.4463087661469
