condition,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,1,aluminum,24,7358.04118681719,8166.019058499834,0.21976414163505023,-7218.140872482013,32.478052224750776
B_baseline_centered,1,aluminum,24,7773.421851214652,9238.841291541332,0.24863596467175464,-7773.421851214652,26.56649265569534
C_per_trial_minmax_-1_to_0,1,aluminum,24,11367.652698043536,12434.285395374867,0.33463184902997306,-11367.652698043536,48.58065353220245
A_not_baseline_centered,2,bismuth,24,7224.947754842459,7936.033562128163,0.21357476528942163,7164.43674869561,224.58860676375974
B_baseline_centered,2,bismuth,24,7893.578451720207,8669.36315172193,0.23331015246377684,7822.045810042724,264.14455363627957
C_per_trial_minmax_-1_to_0,2,bismuth,24,9800.027908676859,10835.249371942598,0.29159854521134665,9697.108331235486,342.68886331516256
A_not_baseline_centered,3,cement,24,1559.5243651072185,2625.1489054550457,0.07064808344661194,1444.80229359683,29.53480231111846
B_baseline_centered,3,cement,24,1975.6466747265447,3606.4581411427394,0.09705710604557109,1892.2233889150941,41.48087222622841
C_per_trial_minmax_-1_to_0,3,cement,24,234.0647307188982,238.76846288524374,0.006425743795059869,-234.0647307188982,41.32149149664051
A_not_baseline_centered,4,copper,24,24302.308968237212,24807.02545284807,1.0369270188089974,-24302.308968237212,58.14844869154676
B_baseline_centered,4,copper,24,25239.150561661692,25409.722710181497,1.0621196027195106,-25239.150561661692,66.1069726553384
C_per_trial_minmax_-1_to_0,4,copper,24,25838.904233943595,26137.54029781,1.0925421829200614,-25838.904233943595,70.88063196361334
A_not_baseline_centered,5,cork,24,134.71973007757163,170.83032844215495,0.004597390751402525,88.91021596242403,69.00774439270296
B_baseline_centered,5,cork,24,158.43463319848217,199.995846371807,0.005382294015433008,108.02701474228354,64.20876142048195
C_per_trial_minmax_-1_to_0,5,cork,24,236.52499700117195,296.63826654512394,0.007983137628798829,191.27889797170334,151.83785631889356
A_not_baseline_centered,6,graphite,24,3681.329147711405,4500.157193147519,0.12110836084143847,-46.85615485570179,31.799358943589638
B_baseline_centered,6,graphite,24,3129.681648068126,3698.895945311646,0.0995447949111345,-114.55999532336682,28.977448865852462
C_per_trial_minmax_-1_to_0,6,graphite,24,5573.665410443334,6414.885157831394,0.17263757533493013,1758.4109841552574,43.869575564288226
A_not_baseline_centered,7,gypsum,24,1497.4151132972872,2571.3156239174077,0.06919932061324545,1406.7726838222163,90.64190561562411
B_baseline_centered,7,gypsum,24,2043.4018120837052,3691.5432373094804,0.09934691862022539,1892.6749832793428,108.56113045523944
C_per_trial_minmax_-1_to_0,7,gypsum,24,407.1947446699856,890.8026337399573,0.023973306303557377,323.8563112051307,34.49533673194568
A_not_baseline_centered,8,iron,24,4590.303221880239,5678.132630013437,0.1528100699478546,3114.9263222326995,28.04393058665029
B_baseline_centered,8,iron,24,5238.65026529318,6400.560098319709,0.1722520589180685,-1481.5488941030208,23.378063936528253
C_per_trial_minmax_-1_to_0,8,iron,24,4604.272149885382,5688.105359449348,0.15307845633154302,-3934.752510775112,22.840396466184227
A_not_baseline_centered,9,nickel,24,5261.938572700648,6385.9604074401395,0.17185915161387283,-4270.965313734036,29.79976826606256
B_baseline_centered,9,nickel,24,5803.851114919965,7255.539100580464,0.19526127861273135,-5558.05759041318,23.56551836475156
C_per_trial_minmax_-1_to_0,9,nickel,24,6852.052746083405,7944.9355406016075,0.21381433559216712,-6343.935565877047,31.373061124580957
A_not_baseline_centered,10,pdms,24,173.07722111377487,210.25858152470542,0.005658485041384264,-151.26785766167828,26.18338518742381
B_baseline_centered,10,pdms,24,185.60144442237106,225.17728262273477,0.006059977557827227,-119.02999178982499,37.74302329716227
C_per_trial_minmax_-1_to_0,10,pdms,24,281.90398660422807,306.3581718488226,0.008244720002111796,-234.35332276689294,63.922967348712504
A_not_baseline_centered,11,ps_foam,24,186.44957233606343,245.43215257964837,0.006606499681056984,186.44957233606343,495.96289374550946
B_baseline_centered,11,ps_foam,24,160.11928250962347,222.54978135162452,0.005990556021553333,160.11928250962347,253.72755856574904
C_per_trial_minmax_-1_to_0,11,ps_foam,24,133.6327312248334,162.70166064944632,0.0043795747944604885,133.6327312248334,314.9428361754515
A_not_baseline_centered,12,pu_foam,24,221.4718271768385,452.13128654507375,0.012167770290776514,221.4718271768385,256.45500097923053
B_baseline_centered,12,pu_foam,24,116.60357235633275,143.7760103687408,0.0038693041591067513,116.60357235633275,259.38396368760453
C_per_trial_minmax_-1_to_0,12,pu_foam,24,470.8664712782993,715.8146055136784,0.01926402341503289,470.8664712782993,640.2871036739624
A_not_baseline_centered,13,titanium,24,3997.03987769723,4790.757642421442,0.12892900855679856,3372.0512956588245,44.90917097469458
B_baseline_centered,13,titanium,24,5104.407206366271,5920.814688479781,0.15934113654064808,3164.864610308619,62.09696019182602
C_per_trial_minmax_-1_to_0,13,titanium,24,6706.164772780435,7694.104614611981,0.20706396644035158,6058.5901140181995,85.59001497765905
A_not_baseline_centered,14,wood,24,392.23658729829776,522.9989500131868,0.01407496290448229,54.860554935434465,67.38523309352908
B_baseline_centered,14,wood,24,3053.8523671220246,6673.113491845232,0.1795870237459439,2677.654472750325,71.13691794978364
C_per_trial_minmax_-1_to_0,14,wood,24,1195.8963885001394,1661.4649472349467,0.04471339282581709,1009.671066365539,177.07156475991698
