condition,fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
A_not_baseline_centered,1,aluminum,24,9475.985434588674,10464.729013012695,0.2816270905704485,-9475.985434588674,38.178056017854004
B_baseline_centered,1,aluminum,24,11957.078611536374,13045.936872784963,0.35109263132179563,-11957.078611536374,47.36726848276039
C_per_trial_minmax_-1_to_0,1,aluminum,24,9214.716844297332,10544.216998677653,0.2837662735450187,-9214.716844297332,38.55257197696373
A_not_baseline_centered,2,bismuth,24,8601.194285324062,9882.6046263054,0.26596094219960936,8118.285970243054,298.60208327473094
B_baseline_centered,2,bismuth,24,10071.622266806675,11612.855536218236,0.3125255048471173,9736.509901873507,375.2071258389434
C_per_trial_minmax_-1_to_0,2,bismuth,24,9201.724665412394,10601.720368115502,0.2853138058903515,8941.765940963134,285.1020382647533
A_not_baseline_centered,3,cement,24,1213.7145979950271,2309.069243888848,0.062141738431400396,1083.5880231110577,39.970533801836595
B_baseline_centered,3,cement,24,594.2139754825167,1026.4811950774545,0.027624691679590443,360.7786810446109,65.20288936691038
C_per_trial_minmax_-1_to_0,3,cement,24,185.43838964088172,211.97299340445593,0.00570462334359287,-185.43838964088172,30.927896105953256
A_not_baseline_centered,4,copper,24,24026.45548312979,24285.545868417037,1.0151293118698228,-24026.45548312979,60.81102811437072
B_baseline_centered,4,copper,24,25783.817455514774,26011.946623656855,1.087292400983552,-25783.817455514774,69.75947755380238
C_per_trial_minmax_-1_to_0,4,copper,24,25186.57306651129,25556.061858003344,1.0682365398982296,-25186.57306651129,68.7686680957864
A_not_baseline_centered,5,cork,24,118.92737669060863,141.07855471790324,0.0037967101544322344,58.23664793371014,70.38381967359311
B_baseline_centered,5,cork,24,143.98080270408937,192.30397384554317,0.00517529011901899,102.23202991667138,67.17992541750422
C_per_trial_minmax_-1_to_0,5,cork,24,207.1762326533279,332.80012048802354,0.008956326490441447,162.30520382670846,68.75978880404907
A_not_baseline_centered,6,graphite,24,4075.5027180487778,4925.662958118917,0.13255958432375098,-466.05668925240315,28.86542800928302
B_baseline_centered,6,graphite,24,4039.5395072781116,4859.804170953119,0.1307871907343003,-1819.1157441569173,34.51715179909074
C_per_trial_minmax_-1_to_0,6,graphite,24,6973.310705454839,8068.196096807579,0.2171315272541029,3658.7920048071805,65.47607683633434
A_not_baseline_centered,7,gypsum,24,878.2886339207084,1394.1740454231792,0.037520052327501774,827.776564852829,141.76328933183825
B_baseline_centered,7,gypsum,24,1070.6585846089993,1687.010848893924,0.04540088487183858,933.2512855957965,114.7443372641241
C_per_trial_minmax_-1_to_0,7,gypsum,24,191.78930930399295,306.73606630326304,0.008254889908624849,84.73464323722844,37.220235045321566
A_not_baseline_centered,8,iron,24,3730.380587848969,4534.493304114175,0.12203241525517616,654.5766043507555,21.29187683996765
B_baseline_centered,8,iron,24,4623.8186415908995,5749.331568105812,0.15472617783385215,-2397.201020839132,25.85850304525399
C_per_trial_minmax_-1_to_0,8,iron,24,4558.270867888429,5480.498369579076,0.14749133100163245,-3323.233569531623,22.61351394653279
A_not_baseline_centered,9,nickel,24,3721.5613137172545,4322.6526532123235,0.11633135351684999,-1485.446996405477,20.379446975466003
B_baseline_centered,9,nickel,24,5587.454160913345,6603.095446625282,0.17770269608316314,-5031.274080416978,22.341222190116504
C_per_trial_minmax_-1_to_0,9,nickel,24,6955.977611806061,7904.911327820626,0.21273720281750436,-5317.581080471232,34.09607404126048
A_not_baseline_centered,10,pdms,24,207.45112816430682,225.83456919735454,0.006077666473178117,-206.6137508327768,48.06422658249812
B_baseline_centered,10,pdms,24,216.3407942414345,242.15119683560022,0.006516780029197242,-216.3407942414345,44.7702735500272
C_per_trial_minmax_-1_to_0,10,pdms,24,585.6085524362412,1147.0691227911852,0.030869957486063585,173.11925744596397,61.98086232329025
A_not_baseline_centered,11,ps_foam,24,90.08434279667519,136.8849420631053,0.003684644886891635,90.08434279667519,108.5336722124867
B_baseline_centered,11,ps_foam,24,123.65500921173658,135.3167977689113,0.003642433853534536,123.65500921173658,366.74739140316717
C_per_trial_minmax_-1_to_0,11,ps_foam,24,106.63909027219331,118.83370598209561,0.0031987448768138037,106.63909027219331,282.5048165854926
A_not_baseline_centered,12,pu_foam,24,205.06387243101608,346.57890263837027,0.009327141475118154,205.06387243101608,227.90478520373875
B_baseline_centered,12,pu_foam,24,427.2818774402079,1528.406449492512,0.04113251867720993,427.14331842889004,225.34751641754704
C_per_trial_minmax_-1_to_0,12,pu_foam,24,534.3369135203919,800.487203782351,0.021542734834296064,534.3369135203919,511.1651939117596
A_not_baseline_centered,13,titanium,24,5024.643368738626,6035.783848423287,0.16243518990600098,3666.090708263262,63.75700483875815
B_baseline_centered,13,titanium,24,5681.048795412421,6525.866818358836,0.17562431700040038,4184.829117517548,82.05290262941715
C_per_trial_minmax_-1_to_0,13,titanium,24,7645.491853201787,8753.132203083787,0.23556454760249002,6450.405146977184,96.68618034506412
A_not_baseline_centered,14,wood,24,813.2749432315932,1411.2556104248881,0.03797975190002194,484.55186157945036,68.62593671991392
B_baseline_centered,14,wood,24,2708.199040488369,5483.9016484721715,0.14758292014186442,2430.874737511138,74.16551571015454
C_per_trial_minmax_-1_to_0,14,wood,24,254.83227205387206,317.1040753774324,0.008533914069397236,-116.38945476025442,57.02228013381314
