fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,7844.2175394281885,9067.87139709044,0.24403481791587894,-7198.870307025199,33.04346003113695
2,bismuth,24,6940.361749788783,7530.353218762434,0.2026570841280994,6924.673736339381,223.48325088194346
3,cement,24,153.16138254431635,247.26184305075753,0.00665431788829707,93.85968423369782,19.12179539526224
4,copper,24,23431.954392975458,23994.733323780543,1.0029734254047022,-23431.954392975458,64.96045976694349
5,cork,24,115.20158550120296,142.3506962966133,0.0038309460654778345,58.20253616901423,59.58907192028722
6,graphite,24,2715.128552195913,3317.407263769,0.0892781604541108,-894.8223888509277,24.83531348404215
7,gypsum,24,417.0645696235622,748.4596963010314,0.020142569044682555,372.2365961503008,32.906524701168664
8,iron,24,3839.9203219943574,5038.181669685868,0.13558769115135558,261.7643281463282,19.46571290563746
9,nickel,24,5010.355340921922,6067.244692358115,0.1632818650500242,-3671.557232679348,25.832931575751843
10,pdms,24,221.4880264641516,243.9410730342237,0.006564949229343066,-221.4880264641516,51.393742525146905
11,ps_foam,24,70.96989966571032,100.4306079766392,0.0027033735091033214,70.96989966571032,139.84530348522225
12,pu_foam,24,109.18346014999607,136.55312365362172,0.0036749216224381486,109.00025902435891,208.7439282081477
13,titanium,24,5284.866782392719,6320.1099115595725,0.17008698115973067,4903.076150530786,58.99865059707254
14,wood,24,964.2023685101508,1868.0084380844276,0.05027189723924932,669.1033596746448,48.077513487899616
