number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,params_washout,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.2824487832447605,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,0,68.98601409979165,0.16222625924423653,0.2824487832447605,4439.690677974563,0.21808299375617143,0.4772683776428692,8103.550789031748,0.9081137539519695,0.2574631579543563,1.0378360215199096,COMPLETE
1,0.2788096281618174,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,50,1.1,0.9,0,194.75504110008478,0.16544970570006742,0.2788096281618174,4512.495706809308,0.21658424937141532,0.48442848698046426,8047.860287757603,0.9833191240036975,0.24890151516160847,1.0071107661877488,COMPLETE
2,0.2926887797051204,0.5446620555599195,1.7541346645212776,0.5347070804948526,0.08117591758518575,6,2.805864209866754,605,2.3030553541554313,21.262586533691977,53,1.0973313300467673,0.7142563365118473,3,164.13307340000756,0.17456676024319448,0.2926887797051204,4840.719831916724,0.22853502415623497,0.4259619145671779,8491.92843249952,0.907497678115514,0.2566150221955419,1.0268582601906007,COMPLETE
3,0.27612215630773884,0.9382009702256318,1.739072123707654,0.32770317956728734,0.1167624256877035,3,1.1057929127091248,803,2.056169417196287,0.14071550913495803,51,1.3710002457938013,0.7881822557441351,5,127.42021650006063,0.15872099950857846,0.27612215630773884,4328.716307804214,0.21329240076629488,0.4999816556546791,7925.5414315187645,0.9628983677565526,0.25131902216577573,1.0123577064513563,COMPLETE
4,0.27757345348017654,0.40224569461001386,0.32813306869226033,0.8246044028081915,0.019595423841921953,2,5.067883622266692,935,0.00410384839136738,0.014145808562966301,17,0.9552296714212434,0.8691469025317455,1,57.55675689992495,0.15294909158384482,0.27757345348017654,4184.844995428567,0.2129267412987526,0.5016946066774868,7911.954218615625,0.8200858264990717,0.25858684872569576,1.036433556224446,COMPLETE
5,0.2794748309005808,0.928783815029346,1.477074045702355,0.2889892621347669,0.12175792679005591,2,0.32130899171422184,265,0.0013371236581146446,9.733425888272647,30,0.6089585950739692,0.8901208653687834,2,65.35876589990221,0.1602874961535569,0.2794748309005808,4409.033018288362,0.21634179923151511,0.4855821296987425,8038.851299992671,0.9496796932859874,0.25253212667626274,1.0100026856652646,COMPLETE
6,0.27880322466620916,0.7921040155567369,0.5153624683279975,0.24816852203876277,0.05803247884235026,2,0.37829347105592864,414,0.0004521302243829868,0.016714849815395297,31,1.0927864096432374,0.9317537621305596,2,72.5176246999763,0.161603791126018,0.27880322466620916,4396.151997126665,0.21570182663417192,0.4886210838877385,8015.071130999038,0.8537664383848094,0.2524055921281489,1.0175071491359318,COMPLETE
7,0.27150163353293927,0.4641463678662225,0.6777145047137225,0.24493298945410658,0.03177785659658285,6,7.524137888871763,657,0.00034855010603111145,3.0256718595160716,14,0.3323945711559432,0.8551840478821253,1,73.99272700003348,0.15581151753993788,0.27150163353293927,4275.698759785794,0.20962870314770937,0.5170116362036604,7789.405370579248,0.8335658639251019,0.24749172154091967,0.9971889517787539,COMPLETE
8,0.2847504014263255,0.635874473646062,0.7222533637349401,0.7625974566689393,0.06915031237128332,5,2.5885973254985113,213,0.03441895888064191,0.12909899351589266,39,0.4685642956704348,0.7349964211378814,0,95.19984079990536,0.16730065286361628,0.2847504014263255,4531.605085845079,0.22071316981635375,0.4645836012774246,8201.283147344899,0.9999896457343451,0.256148926439887,1.0360261650238605,COMPLETE
9,0.2976364379064299,0.9550801464242866,0.28678846550340403,0.9317204590930128,0.0679217746455505,6,0.11644482980609651,1118,1.691997422579532e-05,3.116236719552828,41,1.053118693366834,0.755417751312593,3,206.47556449985132,0.17804026685599586,0.2976364379064299,4931.230491289702,0.23201405265122504,0.40835152048988854,8621.20253874717,0.9455736990921255,0.26248954102081945,1.057511714723263,COMPLETE
10,0.28707634120242853,0.4019310417770573,1.529810124276432,0.811874447607354,0.024905029061433673,5,0.6520762643201525,270,6.632011490550173e-06,2.168887777543897,75,1.1464986172137022,0.7460631989399845,0,174.82210629992187,0.1704980980543873,0.28707634120242853,4718.419141744046,0.22333889037081994,0.451768632104689,8298.849947508652,0.8856939760613562,0.2549498033264344,1.027930962355652,COMPLETE
11,0.2813242038700534,0.7117448519065102,0.5929707003854217,0.8758717168111325,0.01637748270024996,6,7.9374954476079,840,1.8478856839915143e-05,3.091563563729864,50,0.5808017759628432,0.8129628961300991,1,243.78910479997285,0.16804342146474024,0.2813242038700534,4595.984080891307,0.21885185870328536,0.4735760356272207,8132.120353496779,0.9010467145570539,0.24988938066707225,1.0114975692464794,COMPLETE
12,0.2877704984529652,0.632923362431492,1.3519090505614784,0.6454032968559579,0.06624252017690593,3,0.1182607536770186,940,1.3630366052408704,6.752551117803359,69,1.1539683325247065,0.716808337172194,4,201.17165359994397,0.16754043727142612,0.2877704984529652,4589.263860495857,0.2229642951155004,0.45360613245879344,8284.930697664686,0.999833817504379,0.25922481334985925,1.04369223872253,COMPLETE
13,0.27871060161217603,0.43281799994386194,0.29584884943192513,0.6550729056968877,0.031926282953907044,4,0.16295424914088455,484,0.00400918552178815,0.14278802245977804,11,1.0133681109420485,0.9727008904237721,3,48.91543439985253,0.15720548589498737,0.27871060161217603,4300.338163842248,0.2143546902149324,0.494988632701584,7965.014094432183,0.9263743548760718,0.2574236455889745,1.0376991617073228,COMPLETE
14,0.294858970681307,0.4660094730566765,1.4713319100709423,0.27122854906636723,0.07045330279001737,5,0.7613109343932993,376,2.51222125540423e-06,0.26892012861936,43,1.1442951391907143,0.8741043994064042,4,124.88011349993758,0.173841856997371,0.294858970681307,4760.831622156171,0.22911590826654335,0.42304005713776294,8513.512985285366,0.9644866982868278,0.26297224965905464,1.058785361421338,COMPLETE
15,0.2870101798727699,0.5315879490844398,0.49127768587657894,0.2694129786737311,0.1426912510047573,5,0.12114028886098743,707,1.5727604491825182e-06,0.07010211314435617,26,1.4459244808887006,0.6754447643138692,3,81.30883269989863,0.16687567028616776,0.2870101798727699,4616.964704230559,0.22250212411185089,0.45586896720199066,8267.757298965478,0.9975062534446584,0.2580322230436759,1.0364120560853207,COMPLETE
16,0.27938658677118805,0.7456238989205892,0.9305048393971361,0.5763049440261531,0.023723263009667487,6,6.310347962962917,531,0.025284160305374354,0.30804884965454593,22,1.2514105491241228,0.8504712725740328,1,95.35709719988517,0.16416649172940204,0.27938658677118805,4562.568909578327,0.21681558061171144,0.48332654635253813,8056.4561182831385,0.9554942158619645,0.2502840246379064,1.0090902119139828,COMPLETE
17,0.28705786880500533,0.6220782138164671,0.767082194037532,0.7999878349380788,0.01528040630447445,5,2.2037371047672285,1000,0.0959047275628541,7.043523613783707,33,1.2973876997191032,0.8041491152201593,5,181.14951259992085,0.1641813056625854,0.28705786880500533,4552.168226798708,0.22159164753733823,0.46031301407828296,8233.925714774938,0.787810955008744,0.26186488507066846,1.053629938790146,COMPLETE
18,0.2840072289747101,0.8932137311588231,0.9654080906897906,0.3521618270420718,0.01650151548185395,3,4.7448133594810304,1018,2.165496527807296,1.0456828802213047,45,0.7835883851155845,0.8577120418397559,2,163.82686459994875,0.16781829493342548,0.2840072289747101,4655.009316659581,0.22094498372824964,0.46345832044625956,8209.896913032437,0.8838282059988033,0.25224898098584186,1.0137253835321527,COMPLETE
19,0.284762614770158,0.7802352308875271,0.7543675564291191,0.4711484598975215,0.16098801063596577,3,1.0834296512343666,682,0.0014107073049685088,0.0374802761416516,29,0.3620949386646648,0.6882270124808396,5,91.36825790000148,0.1661665961300569,0.284762614770158,4598.209899040259,0.2207759346931162,0.46427904199319625,8203.615371228347,0.9381692161263678,0.2559467203081673,1.0301304444998698,COMPLETE
20,0.2814867948699561,0.5044448101856421,0.5303431888318924,0.27308965610802266,0.019866664051797392,5,4.932743818435116,560,0.00018880639010225624,3.504071112178612,16,0.3975985593320983,0.8730541885700848,0,71.66656320006587,0.16209177070986486,0.2814867948699561,4459.653729287574,0.21746192549835283,0.48024146354788155,8080.473069471847,0.8924212570437576,0.2560994774864131,1.032367415410565,COMPLETE
21,0.2707335488873013,0.4629701351326639,0.3596943200709774,0.8166053734680376,0.04045687849775358,2,5.732179600110452,860,0.015182122118455705,0.02105146717581522,11,0.8265276809865134,0.810476408862635,1,45.63434029999189,0.14964384611804646,0.2707335488873013,4070.9573235012317,0.2077044075684305,0.5258381620490018,7717.902193319906,0.8769033153757615,0.25211656527548304,1.0118256969187622,COMPLETE
22,0.2750871494776425,0.9052665726586505,1.426567820640951,0.342729955267423,0.11740154659249671,3,3.3364115945085953,882,0.006128298797904739,0.1372464886432952,44,1.4946910342338182,0.7779259525001425,4,136.897288300097,0.15857646905882186,0.2750871494776425,4353.5846824259725,0.2127561624221539,0.502492687051294,7905.615830801676,0.9541260795219264,0.24932394822195453,1.0026718162739827,COMPLETE
