fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,combined_raw_esn_thermal,eff,held_out_material,aluminum,24,8096.112921787778,9493.860980729994,0.25549906194021477,-7398.279296825545,32.65606215022196
2,combined_raw_esn_thermal,eff,held_out_material,bismuth,24,8153.254637912665,8911.834871690353,0.23983555842081658,7980.910518837211,271.2028245662991
3,combined_raw_esn_thermal,eff,held_out_material,cement,24,514.3109136157565,727.3542542850686,0.019574578777302693,322.41720806707866,40.71233673207156
4,combined_raw_esn_thermal,eff,held_out_material,copper,24,23560.154258527884,23743.061354008645,0.9924536044842379,-23560.154258527884,62.524313742565965
5,combined_raw_esn_thermal,eff,held_out_material,cork,24,96.70231183575079,126.52654192359934,0.003405085964249415,61.51156072300298,49.82909212948732
6,combined_raw_esn_thermal,eff,held_out_material,graphite,24,5473.459632042362,7587.376297617577,0.20419169087934674,2073.5234071662258,27.327529591618827
7,combined_raw_esn_thermal,eff,held_out_material,gypsum,24,983.2771880962952,1515.7121873662304,0.040790890326861076,819.2851470209843,100.22481352787167
8,combined_raw_esn_thermal,eff,held_out_material,iron,24,4570.8432692764445,5661.548731312711,0.15236376358525383,-3209.276863802457,20.4422466510037
9,combined_raw_esn_thermal,eff,held_out_material,nickel,24,8349.015555498849,9529.30299772792,0.25645287852912624,-8039.4390448809545,43.65186922396765
10,combined_raw_esn_thermal,eff,held_out_material,pdms,24,237.88408457591336,264.4070279462107,0.007115729601242017,-158.93208535926263,48.206526227510196
11,combined_raw_esn_thermal,eff,held_out_material,ps_foam,24,108.07765144679796,147.60892908644837,0.0039733112906399515,108.07765144679796,196.6314145649471
12,combined_raw_esn_thermal,eff,held_out_material,pu_foam,24,133.58463057080272,177.20616546223005,0.004768977462122153,133.26268062422284,193.67299396308312
13,combined_raw_esn_thermal,eff,held_out_material,titanium,24,6284.832418204603,8892.101736602277,0.23930449971726314,4450.168866323972,44.09912980033715
14,combined_raw_esn_thermal,eff,held_out_material,wood,24,1369.0192029752143,3086.662680329522,0.08306835553530746,1052.1368982810764,57.883443780698116
