fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,combined,eff,held_out_material,aluminum,24,8649.024340762182,9432.037318958903,0.25383526176236465,-7629.423368972454,36.07213694130695
2,combined,eff,held_out_material,bismuth,24,6566.962057940401,7228.411074273812,0.19453120838232588,6566.962057940401,208.3102456366499
3,combined,eff,held_out_material,cement,24,277.4966534305916,394.8090466138093,0.01062511250797592,153.80295587066072,25.53893760178918
4,combined,eff,held_out_material,copper,24,23127.35082140019,23531.306135131606,0.9836022930585786,-23127.35082140019,62.511095142740146
5,combined,eff,held_out_material,cork,24,155.55077841409636,181.96011308554222,0.004896915838377562,94.63002452036238,89.10292232339852
6,combined,eff,held_out_material,graphite,24,3407.704186622454,4194.903015174993,0.11289335155453033,-1411.9386048746903,29.051726264427824
7,combined,eff,held_out_material,gypsum,24,704.6933167159151,1323.6131867762413,0.035621116454037725,660.2168273294322,52.21855941326633
8,combined,eff,held_out_material,iron,24,4248.177815496538,5490.208094102046,0.1477526393894793,1195.373126703186,19.002343283836687
9,combined,eff,held_out_material,nickel,24,5360.169963589023,6449.926455067474,0.17358060774199388,-3516.4714918481855,24.97258832756414
10,combined,eff,held_out_material,pdms,24,203.9709405363025,240.01113578042973,0.006459186644040172,-201.88520776314923,55.8081727674593
11,combined,eff,held_out_material,ps_foam,24,170.57819842792654,230.92506199461016,0.0062160003584712156,170.57819842792654,411.20801577989533
12,combined,eff,held_out_material,pu_foam,24,112.78993234465132,165.8948612346349,0.004464567314834666,112.78993234465132,157.89408033040795
13,combined,eff,held_out_material,titanium,24,4702.8279161629425,5851.599928481469,0.1574784269130392,3881.469569584606,46.51925176671624
14,combined,eff,held_out_material,wood,24,932.527895595349,1733.667795402608,0.04665651796886408,594.6210578566448,61.146477376625306
