fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,thermal,eff,held_out_material,aluminum,24,7201.603052746216,8839.25225651167,0.23788221297695955,-6174.901774039087,22.778680465788753
2,thermal,eff,held_out_material,bismuth,24,7562.238540153366,8387.269141574105,0.22571843028477978,7457.3779328454575,223.06409408880387
3,thermal,eff,held_out_material,cement,24,220.77451716991243,292.59657830591,0.007874367597736654,-6.743429576523529,32.96364826899018
4,thermal,eff,held_out_material,copper,24,21885.305414634786,22345.406673691796,0.9340320132402541,-21885.305414634786,55.93894480798862
5,thermal,eff,held_out_material,cork,24,150.86109858305937,185.43675882548544,0.004990479429318792,103.45526448850228,104.01691882159865
6,thermal,eff,held_out_material,graphite,24,4951.9867518966175,6967.664379777847,0.18751398578100983,-226.60648376737745,31.801305910486782
7,thermal,eff,held_out_material,gypsum,24,132.7527106144531,179.3219925490749,0.0048259186620211005,93.2329219610511,20.242104363828574
8,thermal,eff,held_out_material,iron,24,5444.82133992513,6407.703075711514,0.17244429093271152,-550.8014847063192,30.589802436012832
9,thermal,eff,held_out_material,nickel,24,5858.753452047823,7005.88846703686,0.1885426735254398,-2678.931195081692,30.055555058386897
10,thermal,eff,held_out_material,pdms,24,203.83457633170028,241.09225027610174,0.006488281628689182,-168.43020953486416,46.49366987814232
11,thermal,eff,held_out_material,ps_foam,24,114.88116825248194,163.3159642759143,0.004396110511845829,114.88116825248194,139.3204639622861
12,thermal,eff,held_out_material,pu_foam,24,88.39216390016615,135.42459319604544,0.003644550578047784,88.39216390016615,141.15363075889186
13,thermal,eff,held_out_material,titanium,24,6377.109457576048,7934.546403669228,0.2135347428378621,5241.220278270587,96.67928163974321
14,thermal,eff,held_out_material,wood,24,1073.8124177578923,2125.868812470171,0.05721144311008471,777.8592695943835,54.764293152767486
