fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,esn,eff,held_out_material,aluminum,24,6583.615237728751,7916.028975058999,0.2130364012622838,-5821.241985695447,28.63410972025106
2,esn,eff,held_out_material,bismuth,24,7378.433191439173,8256.07366973646,0.22218769394333138,7370.404364458957,244.30784327028067
3,esn,eff,held_out_material,cement,24,1752.2431880305896,3296.066765474541,0.08870384434534978,1669.1779435788583,19.41218828969462
4,esn,eff,held_out_material,copper,24,25259.32924123459,25509.29415246015,1.0662816623343063,-25259.32924123459,68.96617514024732
5,esn,eff,held_out_material,cork,24,167.07035499148898,198.2755130042339,0.005335996353972456,102.9633826697808,111.58032673475896
6,esn,eff,held_out_material,graphite,24,3020.059389563894,4009.2215674321124,0.10789628704997306,550.101284990761,18.875831725596854
7,esn,eff,held_out_material,gypsum,24,1829.9458785429022,3039.393031641334,0.08179623337946493,1749.0142786666108,229.64396009583098
8,esn,eff,held_out_material,iron,24,3835.0605810420907,4777.6292074955945,0.1285756957354811,-712.9640518449914,17.384164495431193
9,esn,eff,held_out_material,nickel,24,5442.874092960872,6332.638747681465,0.1704241575606537,-5172.751819539157,24.764398435722327
10,esn,eff,held_out_material,pdms,24,210.13473550209588,240.07171595010107,0.006460816979322585,-128.44551425923962,48.34173944455395
11,esn,eff,held_out_material,ps_foam,24,134.8454797482865,200.37851642208017,0.005393753796799466,134.8454797482865,136.93558357149917
12,esn,eff,held_out_material,pu_foam,24,122.24465183512643,154.2570330596622,0.004151369745609432,122.24465183512643,202.0876914730239
13,esn,eff,held_out_material,titanium,24,5323.725807338764,6656.4413409380795,0.17913834233740536,3872.849991540986,62.66433937322884
14,esn,eff,held_out_material,wood,24,2753.195360578087,5570.017680784303,0.14990047729995026,2407.3113785073815,71.91046963379561
