fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,thermal,eff,held_out_material,aluminum,24,8305.738677937303,9479.007380564179,0.2550993214219468,-7896.3478799961185,37.14255045780114
2,thermal,eff,held_out_material,bismuth,24,7997.662967025145,8798.42664015139,0.23678351280593804,7997.662967025145,252.91529121247396
3,thermal,eff,held_out_material,cement,24,297.8343167180539,541.4193080298483,0.014570692113432432,202.50760293486965,22.488954264291642
4,thermal,eff,held_out_material,copper,24,23257.531590578797,23620.3857208402,0.9873257958792261,-23257.531590578797,62.150907771355804
5,thermal,eff,held_out_material,cork,24,162.33343569437662,191.92839463674042,0.005165182520463658,95.79559268073321,111.55201515028273
6,thermal,eff,held_out_material,graphite,24,4915.542519668703,5941.827584686356,0.1599066362125228,-2191.7785113552677,40.485839239691025
7,thermal,eff,held_out_material,gypsum,24,662.5239394949136,1184.6590842645899,0.03188157961896796,650.2700046331703,21.03436288509889
8,thermal,eff,held_out_material,iron,24,6636.1969804062655,8050.043911692469,0.21664301512205364,2383.238076247457,31.553833471445426
9,thermal,eff,held_out_material,nickel,24,5292.5213968957205,6609.307288381962,0.17786986934860005,-2923.6211161428896,23.93661201452413
10,thermal,eff,held_out_material,pdms,24,194.53325957400997,228.91655539386335,0.006160608975045271,-186.08724772236488,49.2965549164005
11,thermal,eff,held_out_material,ps_foam,24,84.2566953042661,123.70409250158988,0.0033298450878068244,84.2566953042661,103.25511559282596
12,thermal,eff,held_out_material,pu_foam,24,99.05008917582727,138.53754289984278,0.0037283263707207177,98.42063044272801,173.19653185937753
13,thermal,eff,held_out_material,titanium,24,6552.7123265972405,8124.1058228484535,0.21863617142213657,5469.2176868195775,81.7034769745552
14,thermal,eff,held_out_material,wood,24,661.5671448035874,1709.7166057589623,0.046011942858829855,333.8332972280505,56.160173555506844
