number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_elapsed_minutes,user_attrs_pooled_nrmse,user_attrs_pooled_r2,system_attrs_fixed_params,state
0,0.38428897747991053,2026-08-25 21:48:59.439294,2026-08-25 21:49:16.318858,0 days 00:00:16.879564,0.85,1.0,0.1,0.05,3,2.0,300,0.0001,1.0,20,0.9,0.85,0.28127455000018625,0.2355631310156817,0.3901123924496237,"{'res_size': 20, 'leak_rate': 0.1, 'input_magnitude': 1.0, 'spectral_radius': 0.9, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'min_child_weight': 2.0, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_alpha': 0.0001, 'reg_lambda': 1.0}",COMPLETE
1,0.37242242202804354,2026-08-25 21:49:16.422854,2026-08-25 21:49:32.479214,0 days 00:00:16.056360,0.6734358131563968,1.7541346645212776,0.5347070804948526,0.17924944259092293,3,2.215115432148942,399,3.305216551198884e-05,17.822634269863748,22,1.0973313300467673,0.9172099974201442,0.26754753054992764,0.23227277515906303,0.40703127179327003,,COMPLETE
2,0.4085700421869204,2026-08-25 21:49:32.549839,2026-08-25 21:49:58.190925,0 days 00:00:25.641086,0.8087347604229159,0.7899784047141699,0.5713766333805708,0.08008614295276188,5,0.8175651463102587,552,0.00030738824282680144,10.236982520309983,30,1.3210780276852485,0.9376694358441136,0.42732344651643267,0.24614081216102016,0.33411009480477205,,COMPLETE
3,0.3754156940119335,2026-08-25 21:49:58.264322,2026-08-25 21:50:19.350559,0 days 00:00:21.086237,0.6412692349246837,0.42547866177727733,0.34723086830485805,0.03864746526304777,4,3.002983475550778,170,0.23500758352647227,1.7590028809089175,30,1.3328058704109218,0.745789933792089,0.35139821041666436,0.23980362828128432,0.36795693252968753,,COMPLETE
4,0.3825936697505953,2026-08-25 21:50:19.413305,2026-08-25 21:50:26.885193,0 days 00:00:07.471888,0.6456936946283204,0.325809438161915,0.5520551645606833,0.0361822434609223,4,0.9007738586953865,269,0.12410335325186045,0.15590973365661903,8,0.6535919192705707,0.7197622639705152,0.12451391945020683,0.2418094745841634,0.3573392161856247,,COMPLETE
5,0.3846221471518344,2026-08-25 21:50:26.929959,2026-08-25 21:50:43.785252,0 days 00:00:16.855293,0.6856562103815015,1.0946345278334146,0.8431757225440191,0.028357353157017963,2,2.287912895384949,289,5.927005073211698e-06,0.8955914562811619,23,1.3312895665824411,0.8342446269177228,0.28089891179988624,0.23565975349813,0.38961196659757935,,COMPLETE
6,0.4349618849014839,2026-08-25 21:50:43.868107,2026-08-25 21:50:54.607253,0 days 00:00:10.739146,0.6946339434034473,1.3936367120404827,0.7745096740500103,0.03293231085597593,2,0.4927047351264299,178,0.0007632889559403314,14.351195886395448,14,0.7919340124727411,0.7080986427889857,0.1789568395834067,0.25171770974640983,0.30359366049564096,,COMPLETE
7,0.3576917982817684,2026-08-25 21:50:54.684162,2026-08-25 21:51:06.859038,0 days 00:00:12.174876,0.6561880985568116,1.2759202394106268,0.8944055356638774,0.05245117943697049,4,3.7110855679816863,327,1.1870267158325816e-06,0.03274611290331154,14,0.4282927357324449,0.7809577194974183,0.20289262083291154,0.2258592375296301,0.43932539215649835,,COMPLETE
8,0.3841595223606889,2026-08-25 21:51:06.940098,2026-08-25 21:51:16.598050,0 days 00:00:09.657952,0.6917988568054793,0.8786032214915395,0.6968826023725594,0.028468835069739077,3,3.0998607336862705,289,1.3504647398101565e-05,0.19518480424095344,12,0.4504064529676988,0.8278494987049071,0.16089415903309903,0.2379546017622975,0.37766620054649014,,COMPLETE
9,0.3620504461299253,2026-08-25 21:51:16.648618,2026-08-25 21:51:27.703417,0 days 00:00:11.054799,0.6177719649769347,1.701349041495005,0.7833313152060782,0.13875316713019603,3,1.4450739456028665,345,1.3005235524114979e-06,0.15357618576470367,14,0.624420364976676,0.7880258649226379,0.18419922291698942,0.23825705928862742,0.3760831324584877,,COMPLETE
10,0.3719788759736847,2026-08-25 21:51:27.784760,2026-08-25 21:51:40.309829,0 days 00:00:12.525069,0.7511698120140171,1.8737720873614876,0.7977255715682555,0.021238734970735577,5,4.1704186993085335,372,0.0007395073601974957,0.08756072808668174,15,0.5458697391018837,0.7418802350978952,0.20870629374985583,0.22963686743770778,0.42041331424715067,,COMPLETE
11,0.343685954748048,2026-08-25 21:51:40.352912,2026-08-25 21:51:51.835758,0 days 00:00:11.482846,0.6024006876101033,1.9208750937137258,0.8523324488862807,0.07667062838400276,2,1.3842723196885907,381,5.774480580658402e-06,0.18457668851984177,16,0.5754419872808973,0.7492493959045063,0.19133688333337584,0.23589545957522157,0.3883903399350278,,COMPLETE
