fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,esn,eff,held_out_material,aluminum,24,6015.018473274322,6837.90444533517,0.18402188266355105,-5205.04422331209,25.637715740372442
2,esn,eff,held_out_material,bismuth,24,6558.248436588947,6850.461048909974,0.1843598063429718,6558.248436588947,211.1562428658538
3,esn,eff,held_out_material,cement,24,1179.9233546786838,2028.8172554054393,0.05459958879283626,1100.4845104530445,22.77991477342367
4,esn,eff,held_out_material,copper,24,22403.905261368724,22801.446575511887,0.953094358975783,-22403.905261368724,55.76319029420178
5,esn,eff,held_out_material,cork,24,120.47657640409172,153.03513993723504,0.004118486122476019,90.77249331126029,64.63188518724867
6,esn,eff,held_out_material,graphite,24,3849.340013767274,4948.359463555949,0.13317039333604355,-1606.291436397314,23.626556647871677
7,esn,eff,held_out_material,gypsum,24,1316.299603446433,2542.8889608697987,0.0684343014332199,1259.470148659185,133.14773441610805
8,esn,eff,held_out_material,iron,24,4741.352483774345,5998.337694256123,0.16142743791949113,3984.8566879011028,19.649887822553712
9,esn,eff,held_out_material,nickel,24,4743.131152011331,5784.749412033402,0.15567934387639393,-3932.547155096883,25.73188132429968
10,esn,eff,held_out_material,pdms,24,202.15326505175116,240.9897232208547,0.006485522417606117,-200.40103176318993,46.50980539266989
11,esn,eff,held_out_material,ps_foam,24,174.36982237284448,233.48468323978219,0.006284899794678409,174.36982237284448,387.11999601546887
12,esn,eff,held_out_material,pu_foam,24,118.19065146557868,151.63444269945438,0.0040807905178066855,118.19065146557868,215.77435729108032
13,esn,eff,held_out_material,titanium,24,4650.817610796142,5803.774559356674,0.1561913491926964,3072.3312232304393,54.613757564723976
14,esn,eff,held_out_material,wood,24,240.37606597467504,264.02132496775954,0.007105349551504419,-144.6277831641512,52.08655993350004
