fold,feature_family,target,protocol,held_out_group,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,thermal,eff,held_out_material,aluminum,24,8236.308166470937,9794.219021017683,0.26358230622780965,-7671.8511148594,38.263986901053215
2,thermal,eff,held_out_material,bismuth,24,7233.500267643634,7691.789607767488,0.2070016649090406,7233.500267643634,235.45420334928932
3,thermal,eff,held_out_material,cement,24,240.83741183071174,382.41508255005886,0.01029156578779154,213.05684940500313,21.57996738207556
4,thermal,eff,held_out_material,copper,24,23118.034133710305,23625.659023942004,0.9875462185363085,-23118.034133710305,65.53858249035908
5,thermal,eff,held_out_material,cork,24,98.49751249949138,115.78686064478637,0.0031160593503308897,42.49844016150714,53.32826062798568
6,thermal,eff,held_out_material,graphite,24,6147.655505048737,7506.832558220293,0.20202409542972594,851.3651603162816,48.73660862606914
7,thermal,eff,held_out_material,gypsum,24,728.9032267607258,1163.0734415810089,0.03130066617730015,696.3416942388832,94.79193036920466
8,thermal,eff,held_out_material,iron,24,5186.492539500893,6690.314543392005,0.18004993894382876,1257.2733545677693,20.578874469847126
9,thermal,eff,held_out_material,nickel,24,6369.716505945199,7469.762085235314,0.201026453786082,-4064.0751770152856,34.40069986493827
10,thermal,eff,held_out_material,pdms,24,237.98232417098393,260.00034151067916,0.006997136728139255,-228.1911864851917,55.49593293218519
11,thermal,eff,held_out_material,ps_foam,24,135.22574824258587,228.67619936687265,0.006155465868280215,135.22574824258587,101.00341160910666
12,thermal,eff,held_out_material,pu_foam,24,97.05863061311781,135.7626164902522,0.0036536474707407644,97.05863061311781,180.1368710055589
13,thermal,eff,held_out_material,titanium,24,6364.21285177914,8238.542005355457,0.22171588128326733,4867.485682018146,67.89307093906626
14,thermal,eff,held_out_material,wood,24,407.3809335507761,916.3384961756019,0.024660528173709506,56.73492095394164,53.80544476011481
