trial,acquisition,res_size,leak_rate,input_magnitude,spectral_radius,washout,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,pooled_nrmse_range,pooled_r2,mean_fold_nrmse_training_range,sd_fold_nrmse_training_range,worst_fold_nrmse_training_range,prediction_range_coverage,performance_index
7,random_initialization,25,0.26086084827572703,1.0889887240721112,1.4454615868954506,3,540,3,0.11600800908361648,0.13611173769440274,0.7511328931889731,0.8483734386502187,1.7029154164902612e-06,18.370927449052108,0.19724047440112832,0.5724102859423004,0.1485038222097899,0.23417774905679833,0.953094358975783,0.8173901825128518,0.2557849116653279
22,expected_improvement,48,0.945326649064287,1.9046925793667508,1.4771192165520652,4,713,2,0.07935797390980195,6.023108855016741,0.9591377099998878,0.514699061907237,6.117319404180225e-06,3.544398041715725,0.20188120486429492,0.5520526738014209,0.1473326213363956,0.24577544104461221,0.9944426325746804,0.7710096802323021,0.26332506512544795
27,expected_improvement,69,0.161626305856849,1.990785825803018,1.392456686406237,4,467,3,0.026381483755345304,0.8073001229818354,0.9868874203081739,0.5293609678141099,3.2820143173026998e-06,0.041473665501009,0.20242762804632558,0.5496245125852317,0.15187071528541693,0.24411785792015575,0.9983406163267101,0.810403691091341,0.2634570925263645
8,random_initialization,27,0.1916977193243386,1.707110268264254,0.5802215745042796,5,1050,3,0.11366934745141745,0.5021143738265346,0.7601123515573597,0.8617944474963214,2.099684790034498,1.2547526058585563,0.20257302804121158,0.5489772875756709,0.1481985521013907,0.24821069609716354,1.0085188961913878,0.7082729781370909,0.26462570206550245
38,expected_improvement,45,0.36996737146449105,1.9944825052951949,1.2986532120275038,0,863,3,0.09609997963888216,1.4713542234560897,0.8299911043647868,0.7017694061813344,2.0272490360267397,0.4252199099498287,0.20422540258905036,0.5415893547473052,0.1563097335949069,0.24228237573406936,0.9952720954126922,0.8437239175076929,0.2647959965225677
13,random_initialization,61,0.8510257325380758,1.0522145997216161,1.01462987161382,3,541,4,0.01617802832282878,0.8040656596633274,0.7204963808880028,0.43539635980224545,1.2652530229508282e-06,0.45160234892397316,0.20342442465507202,0.5451781029428449,0.14865901898649805,0.2509967557122549,1.0224337534271155,0.7592302627084855,0.26617361358313574
12,random_initialization,55,0.3311686333324676,1.2676658097615148,0.835113944955445,1,1143,2,0.07610390241110053,0.33588616352159395,0.9159359800677737,0.5510533429077248,2.532534695751305e-05,0.022569292440989704,0.20392061550168486,0.5429566027579042,0.1479572844346889,0.25020873078803346,1.0129739040619716,0.8071095492992383,0.26647279819869324
49,expected_improvement,72,0.6970750497711158,1.9775855388633412,1.1622588399210017,4,245,3,0.046625681913956885,0.33966438696781154,0.7310825882848784,0.9946348079977234,0.48252741258038595,0.024608752259686912,0.2056243319967661,0.5352876851261188,0.15547348354385268,0.24588984551385487,1.006346205215295,0.7169921387575613,0.26709679337522985
45,expected_improvement,73,0.7650096653850229,1.9863718624313953,1.4672919134338707,1,626,5,0.18245919628915797,3.762121852594539,0.7585293108196219,0.6958822075662414,1.3256407500429925,3.3486660535497554,0.204856041420134,0.5387538807989489,0.15105818927927914,0.24902460263660525,1.012427058841152,0.7757790554975093,0.2671121920792853
17,expected_improvement,43,0.8943552638103913,0.6873698251678676,1.4961026253873078,4,1182,3,0.16571811115052243,0.3213736722070488,0.6882792092712453,0.8685584466589023,1.8572660931661298,0.011433690675521387,0.2053888410944753,0.5363514975247203,0.15384581358586263,0.24816985549938128,1.0148616134364818,0.8769861020153539,0.2674313049693206
