number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,params_washout,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.27308199896317087,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,0,148.0821020420044,0.15722653500209854,0.27308199896317087,4191.7593771353295,0.20967622245366999,0.5167926406861201,7791.171097941474,0.7717119075653008,0.25362310603800364,1.0382541228266786,COMPLETE
1,0.2704718147906219,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,50,1.1,0.9,0,380.3279623330018,0.15373855720602608,0.2704718147906219,4182.134531115761,0.20758836877505465,0.5263678166554788,7713.590411647143,0.7708566787498216,0.25153378406226884,1.0235379651456296,COMPLETE
2,0.2706997900307493,0.5446620555599195,1.7541346645212776,0.5347070804948526,0.08117591758518575,6,2.805864209866754,605,2.303055354155433,21.262586533691977,53,1.0973313300467673,0.7142563365118473,3,356.9049899169986,0.15287389993129855,0.2706997900307493,4193.011122345589,0.20794243565084441,0.5247507657339965,7726.746865808277,0.774616899908165,0.2510294175196195,1.01573191638089,COMPLETE
3,0.27169895674272576,0.9382009702256318,1.739072123707654,0.32770317956728734,0.1167624256877035,3,1.1057929127091248,803,2.0561694171962883,0.140715509134958,51,1.3710002457938013,0.7881822557441351,5,337.9349620409994,0.1548418644048353,0.27169895674272576,4135.974214862009,0.20835603891498028,0.5228583177571708,7742.11557934117,0.8189528320702218,0.25337167131098187,1.034565176360181,COMPLETE
4,0.28247858651295044,0.40224569461001386,0.32813306869226033,0.8246044028081914,0.019595423841921946,2,5.067883622266691,935,0.004103848391367383,0.014145808562966301,17,0.9552296714212435,0.8691469025317456,1,126.99976225000137,0.15714193674805038,0.28247858651295044,4278.552404875018,0.21632627488653863,0.4856559546736444,8038.274444751386,0.6822317335078356,0.2646092465056471,1.0703898573863806,COMPLETE
5,0.2764665986916007,0.928783815029346,1.477074045702355,0.2889892621347669,0.12175792679005591,2,0.32130899171422184,265,0.0013371236581146446,9.733425888272643,30,0.6089585950739692,0.8901208653687834,2,189.8430589999989,0.1584789186543441,0.2764665986916007,4263.366264161583,0.2124683401951135,0.5038378589423845,7894.920902256987,0.7925780451807382,0.2559930339859488,1.0431305415421546,COMPLETE
6,0.28110406755944084,0.7921040155567369,0.5153624683279975,0.24816852203876277,0.05803247884235023,2,0.3782934710559287,414,0.0004521302243829868,0.016714849815395297,31,1.0927864096432374,0.9317537621305596,2,182.59393937500136,0.15757877663772205,0.28110406755944084,4325.094721795923,0.21538930790517571,0.4901018290198017,8003.4585272406,0.75065693189076,0.26285903861706045,1.0661235174002912,COMPLETE
7,0.2679151998722315,0.4641463678662225,0.6777145047137225,0.2449329894541066,0.03177785659658285,6,7.524137888871763,657,0.00034855010603111145,3.025671859516072,14,0.3323945711559432,0.8551840478821253,1,125.87442287500016,0.1540205181745238,0.2679151998722315,4119.993073425278,0.20599652988391562,0.5336038232910392,7654.440694926345,0.7785033328087502,0.24767467995326362,1.0096441149708144,COMPLETE
8,0.27959725223356663,0.635874473646062,0.7222533637349401,0.7625974566689393,0.06915031237128332,5,2.5885973254985113,213,0.03441895888064188,0.12909899351589266,39,0.4685642956704348,0.7349964211378814,0,239.35214412499772,0.1622462363521666,0.27959725223356663,4330.3315173205765,0.2151121019848358,0.4914134617699929,7993.158080535405,0.7786568663940603,0.25794060099492333,1.0554226529023498,COMPLETE
9,0.28040879494986903,0.9550801464242866,0.28678846550340403,0.9317204590930128,0.0679217746455505,6,0.11644482980609651,1118,1.691997422579532e-05,3.116236719552828,41,1.053118693366834,0.755417751312593,3,358.0570495829961,0.16374699979683574,0.28040879494986903,4399.281155340296,0.21612191527545557,0.4866272791306283,8030.680828857201,0.7782958900592891,0.25714751869765395,1.0513964687165995,COMPLETE
10,0.27900648811365825,0.4019310417770573,1.529810124276432,0.8118744476073539,0.024905029061433673,5,0.6520762643201525,270,6.632011490550172e-06,2.168887777543897,75,1.1464986172137022,0.7460631989399845,0,447.1718927500042,0.16008806795892935,0.27900648811365825,4330.820995246402,0.21449115698441154,0.4943454071437796,7970.0849409867105,0.8570460881498418,0.2580613245169867,1.0512615518071444,COMPLETE
11,0.27615351711275526,0.7117448519065102,0.5929707003854217,0.8758717168111324,0.01637748270024996,6,7.937495447607897,840,1.8478856839915143e-05,3.0915635637298653,50,0.5808017759628431,0.8129628961300991,1,408.0688210840017,0.159123461526196,0.27615351711275526,4264.340141372084,0.21231083118507313,0.5045732253517023,7889.068165917448,0.7846009675413556,0.25537074371072843,1.0425962713086914,COMPLETE
12,0.28320137701719994,0.632923362431492,1.3519090505614784,0.6454032968559579,0.06624252017690593,3,0.1182607536770186,940,1.3630366052408711,6.752551117803361,69,1.1539683325247065,0.716808337172194,4,430.3853346249962,0.16051587775321338,0.28320137701719994,4323.052933799869,0.21713362269325126,0.4818096404014368,8068.273959355555,0.7810904907224314,0.26427101729579483,1.0764370959515919,COMPLETE
13,0.27892482994623863,0.43281799994386194,0.29584884943192513,0.6550729056968877,0.031926282953907044,4,0.16295424914088455,484,0.004009185521788147,0.14278802245977804,11,1.0133681109420485,0.9727008904237721,3,88.30701441699784,0.15447227119854187,0.27892482994623863,4170.604363657303,0.213195831345352,0.5004343257995398,7921.9530948318925,0.7975696275945174,0.26291599440354646,1.0661307942971388,COMPLETE
14,0.26497049042319687,0.4660094730566765,1.4713319100709423,0.27122854906636723,0.07045330279001737,5,0.7613109343932994,376,2.51222125540423e-06,0.26892012861935993,43,1.1442951391907143,0.8741043994064042,4,275.8907548339994,0.15207117063806636,0.26497049042319687,4146.92138573637,0.20367302832070044,0.5440657538991867,7568.103779784028,0.8041982053758692,0.2451898484099858,0.9992946643137945,COMPLETE
15,0.27768758823582895,0.5315879490844398,0.49127768587657894,0.2694129786737311,0.14269125100475727,5,0.12114028886098743,707,1.5727604491825182e-06,0.07010211314435617,26,1.4459244808887006,0.6754447643138692,3,176.03681700000016,0.16224899255062472,0.27768758823582895,4397.5451945453,0.21495269295630834,0.4921669595557113,7987.2347431093485,0.7916957255158148,0.25093958111808257,1.0150797030312415,COMPLETE
