fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,7381.329952622633,8587.029384358173,0.23109438372962943,-7229.234429204018,34.43341545366619
2,bismuth,24,7883.590582720674,8398.883820351728,0.22603100485675245,7883.590582720674,234.52997793736063
3,cement,24,572.6339256950138,878.4761559674602,0.02364157577639963,359.3493226682139,35.3752598305892
4,copper,24,23365.736419478282,23764.590114237268,0.9933535008948313,-23365.736419478282,61.78225823798933
5,cork,24,116.38361363689249,153.56316130152354,0.004132696248739079,79.60290762267134,64.54044141973372
6,graphite,24,5413.950184478533,6738.4413808730405,0.18134512978931427,1586.937993907319,38.057019317867415
7,gypsum,24,1167.5983228525604,1989.7550406536,0.05354834533702207,1039.5166610510169,75.17837355524777
8,iron,24,3902.045864787751,4531.60431915588,0.12195466680822693,-50.19370679290781,24.63247511172361
9,nickel,24,7508.97821537594,8451.172241140754,0.2274381923528668,-6727.954893676528,36.738402119371784
10,pdms,24,215.48759946057967,253.38600841283673,0.006819131604060757,-190.8567506962414,50.010482048719055
11,ps_foam,24,82.92858433836062,131.14386029621656,0.0035301074537834607,82.92858433836062,146.37699814002184
12,pu_foam,24,123.46055589169191,141.28125239803302,0.003802165160276088,123.04101752816682,277.1762698966854
13,titanium,24,5808.949847052306,7424.098852326473,0.19979756353826322,4848.19263612649,57.782206079168084
14,wood,24,796.3426455697694,1556.7490298532198,0.041895275021528046,539.070358622636,60.588736300099576
