fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,8185.895582378053,9488.58174790783,0.2553569870734599,-7328.242621478323,32.47880698770436
2,bismuth,24,8810.138968077628,9383.567792433914,0.2525308484593937,8764.867899343939,293.7620152097362
3,cement,24,724.356995012225,1225.8456056126388,0.03298999247548295,551.2164410798079,33.711902564006294
4,copper,24,23059.21538354282,23272.555194147193,0.9727865730376929,-23059.21538354282,62.05910007500217
5,cork,24,82.17641068977379,112.12381407750088,0.0030174793349204677,58.00681459571439,43.72545140803739
6,graphite,24,5691.521322122827,8041.552645125097,0.2164144979100309,2428.0097137424614,29.17064054696249
7,gypsum,24,891.5497233674099,1427.5711662733124,0.038418836612002315,724.4592610893334,88.0357853505249
8,iron,24,5402.41236107332,6241.799393224127,0.16797948622006703,-2639.075095139262,30.279917195169432
9,nickel,24,8140.129870955662,9164.617476103887,0.24663845119895544,-7625.863093410684,38.99314708796597
10,pdms,24,213.53990351988247,249.99914029850567,0.006727984111182651,-158.07423920515564,46.57144346647766
11,ps_foam,24,106.35574515364708,143.76494604763846,0.003869839628704196,106.35574515364708,188.2107561765483
12,pu_foam,24,145.64749306489952,202.83738647339402,0.005458765625023099,145.09659676663458,220.36308548170953
13,titanium,24,6194.570085911505,8334.207263408502,0.22429042748132447,4415.450435063122,47.62542911263571
14,wood,24,1236.7045897235973,2698.3256542108834,0.0726174182305213,931.3204962696291,60.979814172663026
