fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,7087.481621595073,8586.746507574895,0.23108677094143726,-6880.288577560138,28.85856372251876
2,bismuth,24,5675.882286686603,6561.577758793135,0.17658537086462758,5675.882286686603,164.17070075306657
3,cement,24,843.5756793551976,1702.6475893816996,0.045821701285154344,743.7634440840939,24.68845504703489
4,copper,24,23381.062203100493,23663.68565382606,0.9891357214791735,-23381.062203100493,60.8734910967629
5,cork,24,153.7688953611586,187.5458837051557,0.00504724025922396,105.47211387603893,115.21445344139218
6,graphite,24,3010.769775390625,3469.932554352698,0.09338292549600391,495.77802754447157,28.802878954587126
7,gypsum,24,844.8653677977131,1453.9358127335076,0.039128362741849575,735.2799531517113,112.42963719834962
8,iron,24,4753.757649351578,5661.951726902357,0.1523746090142452,470.0231918073525,24.26201544135469
9,nickel,24,5146.093510615442,6496.038870882874,0.1748215864132158,-4304.625222452568,21.64394740266452
10,pdms,24,215.78053588209642,251.9308497168963,0.006779970331050591,-145.95659096638974,50.00526061541966
11,ps_foam,24,143.17812828844183,208.2403867632746,0.005605378245168173,143.17812828844183,218.28977722136506
12,pu_foam,24,105.93242448812437,124.23833996901628,0.003343505806912754,105.93242448812437,219.51093084698837
13,titanium,24,4524.393874423183,6027.905999052393,0.16222318099535282,3828.866711782957,54.403024773016874
14,wood,24,2187.8994256656315,4820.886801828118,0.12973984536819466,1863.5279491577478,83.25619053489581
