number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.29124525953086483,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,43.468252708000364,0.18052711782736583,0.29124525953086483,5033.8844127518905,0.22849169276952916,0.4261795749301851,8490.318320280856,0.7828089711249385,0.25101426704534263,1.0185953537033294,COMPLETE
1,0.30008676038998733,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,30,1.1,0.9,113.8590306660044,0.18591842665426278,0.30008676038998733,5129.614288023707,0.2355171588074628,0.3903504190376097,8751.371325260534,0.7798499426207293,0.2582784063300982,1.046561780990849,COMPLETE
2,0.2892044904639495,0.5101537197345953,1.7541346645212776,0.5347070804948526,0.17681300513212714,4,2.012701405986034,752,3.644652482792098e-05,26.03058711556135,22,1.0973313300467673,0.903411663656835,60.70948816699092,0.1793819796873706,0.2892044904639495,4991.172747241068,0.22733982755329973,0.4319504435771938,8447.517191586381,0.7816206339010265,0.24745865164259914,0.9989270641940551,COMPLETE
3,0.3079931375809857,0.7131021406343739,0.7899784047141699,0.5713766333805708,0.07143279630406682,6,0.5799394006124057,1093,0.00036075238942410927,13.151745255049628,30,1.3210780276852485,0.9272810084847992,214.4768062499934,0.1914067184786091,0.3079931375809857,5310.008126385601,0.24214650636030846,0.3555464985817607,8997.70531796375,0.872083648489078,0.2633865248827088,1.064335215301302,COMPLETE
4,0.3005295835615313,0.46190385238702564,0.42547866177727733,0.34723086830485805,0.031472129490909696,4,2.942812956611264,244,0.3320354171981087,1.503639980987409,30,1.3328058704109218,0.7034215894241039,33.76778529101284,0.18389891397332928,0.3005295835615313,5146.988276534285,0.23539814929210168,0.39096638918882054,8746.949157188203,0.7197193641575086,0.2605257370777186,1.0519755557436536,COMPLETE
5,0.29653281764431894,0.4685405419424807,0.325809438161915,0.5520551645606833,0.029222957652901334,5,0.654533252884089,465,0.17224100572176346,0.0760879983147087,10,0.6535919192705707,0.6730559746322679,39.76784558300278,0.18228684571707235,0.29653281764431894,5035.646462980062,0.23222749763243927,0.40726242708531857,8629.133749779,0.8074425622468571,0.2572212800475186,1.0426314402655172,COMPLETE
6,0.288024576185224,0.5284843155722522,1.0946345278334146,0.8431757225440191,0.022216320269086976,3,2.0956110642565635,509,6.229214449152028e-06,0.6549011128488195,24,1.3312895665824411,0.80661873140401,37.115988333011046,0.1760079636658652,0.288024576185224,4876.712926817245,0.2256189724005569,0.44051762947315887,8383.573475065275,0.7639588553156661,0.2496224151386683,1.0067474353771242,COMPLETE
7,0.3061788232160385,0.5419509151051711,1.3936367120404827,0.7745096740500103,0.026287193784865475,2,0.30818860485044414,264,0.0009188610205591764,19.93596046987143,16,0.7919340124727411,0.6594484165871501,18.955293834005715,0.18115427660766042,0.3061788232160385,5147.535926568131,0.2379520688782925,0.37767944921598706,8841.847969430937,0.5169205713267209,0.2729070173509839,1.1007796587425767,COMPLETE
8,0.29411695202227317,0.4842821478352174,1.2759202394106268,0.8944055356638774,0.04437430121379882,5,3.8330978305221253,592,1.192727954368058e-06,0.01113877359577184,16,0.4282927357324449,0.7444506727469881,54.32651991600869,0.18112467185030381,0.29411695202227317,4940.0669548084215,0.23033355257507537,0.4168912147363881,8558.758340400937,0.7343744251779962,0.25513359778879113,1.0355445516285846,COMPLETE
9,0.3040489189839432,0.4126131881725957,1.486431435864482,0.5809912256219473,0.034316545363493184,5,0.7673535139298574,593,0.011615402047821115,0.5740186338756653,26,0.5914163010441648,0.9928912896472828,100.61665704098414,0.19238126405090247,0.3040489189839432,5250.464503321291,0.23982982007247933,0.36781885918846446,8911.621645540092,0.83523333746525,0.25687639564585546,1.0428151315355987,COMPLETE
10,0.3037080343921086,0.9079162984049027,1.270372089820081,0.7844627126093424,0.02451535922520632,6,2.7183629280711386,501,0.05455678579102522,2.8367122121604833,29,0.33967212627701,0.9733122105644979,163.41013866700814,0.19089142116546573,0.3037080343921086,5216.554456141051,0.2395894709876434,0.3690853240678468,8902.690728999929,0.8504314686320877,0.2564742536178608,1.0351947528598584,COMPLETE
11,0.2854687194441991,0.7406016396526415,1.333761831990786,0.11338177211945093,0.015125570536383201,3,0.1793522910128987,607,0.8782834980356521,0.04802391368168541,11,0.534888304532073,0.8851609042581579,34.366836667002644,0.17332628163345257,0.2854687194441991,4855.707211121875,0.2229627724700101,0.45361359519014344,8284.874119043621,0.6621653599419304,0.250023787896756,1.0121396547443389,COMPLETE
12,0.29739569822624295,0.8296965215361503,1.3689622025686385,0.26045318495470465,0.05010395899911748,6,1.0943330267885385,233,0.2836463359135307,1.996740471745755,14,1.308215919445548,0.7184465008263211,42.962933709000936,0.1851446438045943,0.29739569822624295,5166.627160690508,0.23437819971999052,0.39623268222291874,8709.049763854053,0.8140433387900383,0.2520699940250098,1.012649632754196,COMPLETE
13,0.2941928129126056,0.9682624065236451,1.6780070341189668,0.6904762493935299,0.016483972798629183,4,0.2408584719032223,476,0.18650211692173685,0.012388798808428476,23,1.1878521046982482,0.7858719614183703,60.313166167004965,0.18593408640503947,0.2941928129126056,5040.784607393717,0.2313783946259883,0.41158900469295767,8597.582691077063,0.7376454738709226,0.2512576731464691,1.0276657023414517,COMPLETE
14,0.29489454669124643,0.43281799994386194,1.2903284951238208,0.07357940827927578,0.031926282953907044,4,0.16295424914088455,484,0.004009185521788147,0.14278802245977804,24,1.0818083297921421,0.9727008904237721,47.17772991702077,0.1836703787480456,0.29489454669124643,5041.744422835902,0.23171202542385314,0.4098908896724881,8609.979779308094,0.8383014528380521,0.25273008506957323,1.0247635524801182,COMPLETE
15,0.2926357679964709,0.7841789704109785,1.4713319100709423,0.27122854906636723,0.07283455816194946,2,1.5645667838968427,975,5.159238461810186e-06,0.016396969335196757,19,1.1442951391907143,0.8042733618001947,42.228836416004924,0.1819639051941629,0.2926357679964709,5078.108465493802,0.23015381079588335,0.41780092255162615,8552.079476489971,0.7632863475861054,0.2499278288023503,1.0093303668947537,COMPLETE
16,0.29263935221229503,0.4249865814732302,0.6766363474211439,0.25824835773318633,0.05577788612591106,4,1.6243776203330442,1155,2.9572112765464037e-06,0.05788669542294301,18,0.4654475560296541,0.9543784689085558,61.684320208005374,0.1786033774070293,0.29263935221229503,4889.878894696381,0.2288072334859515,0.42459362029159076,8502.043215365498,0.7751962598748695,0.25532847490537414,1.0343118101368427,COMPLETE
17,0.3027935579440389,0.5061834701825624,0.5533574945732763,0.26890464632873323,0.0257493968443029,5,0.4594540211249762,589,0.6754322127583999,0.9808629966115734,10,1.001739925368204,0.9624730821282775,47.401272624993,0.1869896408975693,0.3027935579440389,5162.2706649769325,0.23743346443680619,0.38038912522283985,8822.577611120923,0.7549014556949888,0.26144037402893083,1.0594654779415618,COMPLETE
18,0.28886970477280194,0.8795178733836465,0.9992072015963969,0.6617785241018371,0.12914907740674908,3,6.735791815314738,1034,1.1125340813867696e-06,2.163538942994242,22,0.6992594928246855,0.929882622691781,58.54375212499872,0.1786785662801722,0.28886970477280194,4915.671499230449,0.22683676231962183,0.434461660459997,8428.824240792323,0.7721594068644507,0.24813176981272042,1.0026330115238675,COMPLETE
19,0.29493220712343343,0.8908359121888286,1.596002287913755,0.3831173207247005,0.043248536462696004,3,0.63970632072718,696,0.00010892527477706596,0.013429681385299028,19,1.2828095483538802,0.7720054922703937,49.28213666702504,0.18273958676631025,0.29493220712343343,5038.944735313124,0.23132056197771395,0.41188311264884825,8595.433739457849,0.7915940257187065,0.2544465805828779,1.033022948091324,COMPLETE
20,0.2934408671023338,0.7017213342001418,1.0159572078956698,0.2057997526442668,0.016649939578811872,2,0.3511967925375032,519,0.07407638455666544,0.1293597372047318,12,0.4610450558770881,0.8963413198226408,24.315790499997092,0.17378657897128516,0.2934408671023338,4912.491625816812,0.22807802831891194,0.4282553986933225,8474.947333174261,0.6408446775032897,0.2614513551336874,1.054913000353468,COMPLETE
21,0.29846390032503806,0.9129529402441653,0.629137540129427,0.7409958065090175,0.1879385971315634,3,4.50345166453288,925,3.4009573935675888e-06,1.2219100272739265,24,0.5387793286675844,0.8568600781399013,51.31986012501875,0.18713812415114386,0.29846390032503806,5194.887638893455,0.23457853884351113,0.3952000784138613,8716.493986049089,0.8099534145906295,0.2555414459261078,1.0407186496119534,COMPLETE
22,0.29120239445820073,0.4535267664522253,0.8493021755350054,0.7777557391496505,0.015762433773159175,3,2.0583240480780627,466,1.0338917081840035e-06,1.0669201216204613,27,0.9820431749945224,0.7776930966809412,36.96736516698729,0.176917307829986,0.29120239445820073,4970.391038335105,0.2276932582332514,0.4301828500827304,8460.650005915739,0.7192200419313031,0.2540365448997973,1.025617681342854,COMPLETE
23,0.29789058790563494,0.9084560429926609,1.7999137546133033,0.1604822511622818,0.029821912046575454,4,0.10240484172925239,562,1.6196062775927955,0.10900834508762713,20,0.597015968985657,0.857355034417739,62.93411779101007,0.18327950612863075,0.29789058790563494,5124.28052407686,0.23369202708589598,0.39976272187203055,8683.552889042046,0.745422944518418,0.25679424327895584,1.0364325250279491,COMPLETE
24,0.2906891092448616,0.49288574072028823,1.1013571159562279,0.9479428469773559,0.030960149451056084,2,1.8431781550721984,535,1.928458765490647e-05,0.2639930044790753,18,1.3572068859435478,0.8097133546312529,27.57448124999064,0.17456873437613848,0.2906891092448616,4867.877312020127,0.22683317409901463,0.4344795522713002,8428.6909093141,0.6777291639216615,0.2554237405833878,1.0287854786737496,COMPLETE
25,0.28776585367297697,0.8982649163161964,1.4568918172876362,0.645001121983849,0.1407683705737382,5,3.8764267539781114,1147,2.121842512652403e-06,3.142305566567522,16,0.3656888498621616,0.9713702664833697,52.17056183400564,0.18098824916369868,0.28776585367297697,4979.257017052367,0.2267449251874994,0.4349194954686243,8425.411746990512,0.7702085342979398,0.24408371394191036,0.9891855462650901,COMPLETE
26,0.29329679403974823,0.8253375186497002,1.393076201322243,0.9056856786954621,0.17716937038271546,5,5.440875504936284,1194,1.7710011775787435e-06,3.7623912723810156,14,0.4949670745430612,0.9763742773290948,46.322329874994466,0.18089844911600814,0.29329679403974823,5041.947308724532,0.23028446942989578,0.41713970448834214,8556.93450373675,0.7549780197659086,0.25204929843940976,1.0166263441281829,COMPLETE
27,0.29900367468442746,0.43354822831598094,1.5474581498460132,0.5748356028473462,0.0491181158767039,5,2.5061563885870095,287,8.705147576229132e-05,0.9905574925264071,26,1.48504577755105,0.8419977806043062,47.05395066700294,0.18738791164610943,0.29900367468442746,5140.092787305337,0.2352829753746887,0.3915622105836377,8742.669512667313,0.7629235612941562,0.2548827972389551,1.0341077078117653,COMPLETE
28,0.284760877899472,0.7268416477274948,1.7185098560345962,0.3797516433013425,0.017392498564069082,4,0.3340725671070219,811,0.28810267994875655,0.030893367234896888,10,0.3593910693366215,0.8734312438820138,56.36286179200397,0.1746583006177904,0.284760877899472,4831.831297982168,0.2230935239002219,0.45297257561095394,8289.732594421324,0.7915457234036004,0.24666941599700032,0.9971339690336987,COMPLETE
29,0.2990552678984685,0.8193791640818593,1.2889710377748937,0.3072393251492573,0.14069606558205291,5,0.7557433559121381,1174,9.164830331179223e-06,13.716783358301353,18,0.7326053705310946,0.8709113892243352,84.86081966699567,0.184140401104206,0.2990552678984685,5125.191979224511,0.23538164713054988,0.3910517765955164,8746.335968135903,0.7943231654138752,0.2546944830716745,1.0183922418731717,COMPLETE
