number,value,params_colsample_bytree,params_input_magnitude,params_leak_rate,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_res_size,params_spectral_radius,params_subsample,params_washout,user_attrs_duration_seconds,user_attrs_mean_fold_nrmse_training_range,user_attrs_objective_J,user_attrs_pooled_mae,user_attrs_pooled_nrmse_range,user_attrs_pooled_r2,user_attrs_pooled_rmse,user_attrs_prediction_range_coverage,user_attrs_sd_fold_nrmse_training_range,user_attrs_worst_fold_nrmse_training_range,state
0,0.2813512397196995,0.85,1.0,0.1,0.05,3,1.0,500,0.0001,1.0,20,0.9,0.85,0,103.92871209979057,0.16123384034876093,0.2813512397196995,4403.239240798952,0.2170279730950812,0.4823137841973232,8064.348220489511,0.9064640889892732,0.25729306649847317,1.0384174802128072,COMPLETE
1,0.27941064071435323,0.9,1.0,0.3,0.03,4,0.5,800,1e-05,0.3,50,1.1,0.9,0,325.66665659984574,0.16600461546020978,0.27941064071435323,4526.913192052466,0.21713381434755646,0.48180872563332355,8068.281080866359,0.9999210969057832,0.24910730546718715,1.0076811124362806,COMPLETE
2,0.29264776978313667,0.5446620555599195,1.7541346645212776,0.5347070804948526,0.08117591758518575,6,2.805864209866754,605,2.3030553541554313,21.262586533691977,53,1.0973313300467673,0.7142563365118473,3,292.30920189991593,0.17430090027286696,0.29264776978313667,4832.488520479823,0.2284764093836713,0.4262563359324023,8489.750418623811,0.8849173928024906,0.25668544159786133,1.0265110484999458,COMPLETE
3,0.2755555774823762,0.9382009702256318,1.739072123707654,0.32770317956728734,0.1167624256877035,3,1.1057929127091248,803,2.056169417196287,0.14071550913495803,51,1.3710002457938013,0.7881822557441351,5,216.5263677998446,0.1589414825433131,0.2755555774823762,4338.239156685928,0.21318155586487078,0.5005012248681008,7921.4226450287015,0.924705552244709,0.2494960864700217,1.0029171004544597,COMPLETE
4,0.2759689762098819,0.40224569461001386,0.32813306869226033,0.8246044028081915,0.019595423841921953,2,5.067883622266692,935,0.00410384839136738,0.014145808562966301,17,0.9552296714212434,0.8691469025317455,1,101.61485880007967,0.15200129744801646,0.2759689762098819,4155.764277546458,0.2117381093804749,0.5072425099029312,7867.786908944533,0.7912958162048598,0.256923467317628,1.0290038732239755,COMPLETE
5,0.2770518094449641,0.928783815029346,1.477074045702355,0.2889892621347669,0.12175792679005591,2,0.32130899171422184,265,0.0013371236581146446,9.733425888272647,30,0.6089585950739692,0.8901208653687834,2,95.60184949985705,0.15811262950043772,0.2770518094449641,4356.152692771718,0.21444925346381827,0.49454295969749473,7968.527885567036,0.9734477818809284,0.2504102239245834,0.9987609229433172,COMPLETE
6,0.28180191189184817,0.7921040155567369,0.5153624683279975,0.24816852203876277,0.05803247884235026,2,0.37829347105592864,414,0.0004521302243829868,0.016714849815395297,31,1.0927864096432374,0.9317537621305596,2,111.74245319981128,0.16343269241897082,0.28180191189184817,4482.745724162584,0.21814808520025203,0.47695629063993206,8105.9694637479815,0.8856025358681978,0.2546153067663845,1.025157472495037,COMPLETE
7,0.27226288232604495,0.4641463678662225,0.6777145047137225,0.24493298945410658,0.03177785659658285,6,7.524137888871763,657,0.00034855010603111145,3.0256718595160716,14,0.3323945711559432,0.8551840478821253,1,140.13560610008426,0.15518413350830632,0.27226288232604495,4269.169820833951,0.2100077426915363,0.5152634290486973,7803.489761762391,0.8651961095503888,0.24902055853803454,1.0020319915168423,COMPLETE
8,0.2767186780233014,0.635874473646062,0.7222533637349401,0.7625974566689393,0.06915031237128332,5,2.5885973254985113,213,0.03441895888064191,0.12909899351589266,39,0.4685642956704348,0.7349964211378814,0,150.760436499957,0.16182661180235783,0.2767186780233014,4397.053400433956,0.21409858826987352,0.49619464439810956,7955.4978314572045,0.976635630856586,0.2504803590137116,1.0150715515343351,COMPLETE
9,0.29563813871083017,0.9550801464242866,0.28678846550340403,0.9317204590930128,0.0679217746455505,6,0.11644482980609651,1118,1.691997422579532e-05,3.116236719552828,41,1.053118693366834,0.755417751312593,3,344.0640279999934,0.17648911785892,0.29563813871083017,4930.379433971319,0.23056465420398486,0.41572052126184766,8567.34563900245,0.9598336929323373,0.26029393802738127,1.045832874808733,COMPLETE
10,0.28602624569067714,0.4019310417770573,1.529810124276432,0.811874447607354,0.024905029061433673,5,0.6520762643201525,270,6.632011490550173e-06,2.168887777543897,75,1.1464986172137022,0.7460631989399845,0,287.42327279993333,0.1694557334201041,0.28602624569067714,4683.803112664561,0.22243578928618757,0.4561933637159036,8265.292422545792,0.8684104101640531,0.2543618256179583,1.02500458854827,COMPLETE
11,0.2800058457685224,0.7117448519065102,0.5929707003854217,0.8758717168111325,0.01637748270024996,6,7.9374954476079,840,1.8478856839915143e-05,3.091563563729864,50,0.5808017759628432,0.8129628961300991,1,466.2185398999136,0.16745356133573894,0.2800058457685224,4568.904934339061,0.21781173507566387,0.4785679499092921,8093.471330488931,0.9347023094771505,0.24877644277143415,1.007960763040874,COMPLETE
12,0.2834695498764389,0.632923362431492,1.3519090505614784,0.6454032968559579,0.06624252017690593,3,0.1182607536770186,940,1.3630366052408704,6.752551117803359,69,1.1539683325247065,0.716808337172194,4,374.7099533001892,0.1638716108166139,0.2834695498764389,4507.456783521616,0.21951635752844786,0.4703744254763458,8156.811870639912,0.9371419670952292,0.2558127693919643,1.0269756419323095,COMPLETE
13,0.27707715458580406,0.43281799994386194,0.29584884943192513,0.6550729056968877,0.031926282953907044,4,0.16295424914088455,484,0.00400918552178815,0.14278802245977804,11,1.0133681109420485,0.9727008904237721,3,83.4075293999631,0.15727918061522697,0.27707715458580406,4323.5230124557165,0.2133983222896519,0.49948491169893605,7929.477274609468,0.9189530613028094,0.2547153291846086,1.0266397085942036,COMPLETE
14,0.28978132516425514,0.4660094730566765,1.4713319100709423,0.27122854906636723,0.07045330279001737,5,0.7613109343932993,376,2.51222125540423e-06,0.26892012861936,43,1.1442951391907143,0.8741043994064042,4,213.9016455002129,0.1729763260158555,0.28978132516425514,4720.108712988495,0.22545629081161164,0.4413241633047299,8377.52853549547,0.9377294223266308,0.2573001374105739,1.040702728131193,COMPLETE
15,0.2935217738322957,0.5315879490844398,0.49127768587657894,0.2694129786737311,0.1426912510047573,5,0.12114028886098743,707,1.5727604491825182e-06,0.07010211314435617,26,1.4459244808887006,0.6754447643138692,3,132.90256050019525,0.1695598053413739,0.2935217738322957,4659.630201614113,0.22711061609518232,0.43309531846173777,8439.0001281497,1.0,0.26564463094845353,1.0684197234470536,COMPLETE
16,0.2802138391054815,0.7456238989205892,0.9305048393971361,0.5763049440261531,0.023723263009667487,6,6.310347962962917,531,0.025284160305374354,0.30804884965454593,22,1.2514105491241228,0.8504712725740328,1,167.04360530013219,0.16344572127264612,0.2802138391054815,4566.926287133829,0.21704771927721472,0.4822195770663612,8065.081951199331,0.9610937939480569,0.252664479313067,1.0192334737149982,COMPLETE
17,0.28649565443270836,0.6220782138164671,0.767082194037532,0.7999878349380788,0.01528040630447445,5,2.2037371047672285,1000,0.0959047275628541,7.043523613783707,33,1.2973876997191032,0.8041491152201593,5,337.0857475998346,0.16400333065306263,0.28649565443270836,4556.624772608473,0.22123359346287735,0.4620556881129153,8220.621103866773,0.7632016334786148,0.26104824387932407,1.049914069448207,COMPLETE
18,0.2834263771249054,0.8932137311588231,0.9654080906897906,0.3521618270420718,0.01650151548185395,3,4.7448133594810304,1018,2.165496527807296,1.0456828802213047,45,0.7835883851155845,0.8577120418397559,2,295.8693366001826,0.16807328583565986,0.2834263771249054,4647.639090482944,0.22063667685645488,0.4649546574144495,8198.440813906296,0.8923876515016979,0.25115880107380223,1.0098611834607483,COMPLETE
19,0.28114136901620174,0.7802352308875271,0.7543675564291191,0.4711484598975215,0.16098801063596577,3,1.0834296512343666,682,0.0014107073049685088,0.0374802761416516,29,0.3620949386646648,0.6882270124808396,5,156.29373849998228,0.1643400354709644,0.28114136901620174,4516.790067826582,0.21805085139994576,0.47742245281902873,8102.35643998294,0.9621967573430817,0.2523620704650239,1.0157548465403503,COMPLETE
