fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,6116.953453526825,7075.273152342611,0.1904099561878486,-5053.256464946847,21.346002470927132
2,bismuth,24,6217.508822796258,6916.652020808883,0.18614113969759,5801.957947392169,220.55293691943106
3,cement,24,1219.3378913621243,2532.6164711481447,0.06815784789203151,1184.383212862577,14.130698422801572
4,copper,24,23021.3265531439,23397.200528739606,0.9779967146345977,-23021.3265531439,58.77218052941136
5,cork,24,133.2212579571166,168.4554463892805,0.004533477856747793,87.03072638974108,69.9427040089071
6,graphite,24,3485.088794945838,4375.296919054571,0.11774811752535261,-465.649881458892,27.683419938896296
7,gypsum,24,609.6909305325981,1030.8026622979505,0.027740991130707666,494.3079415855493,62.10747181126126
8,iron,24,4280.218206559931,5475.483657272392,0.14735637491865858,3570.483505392422,17.73643390790493
9,nickel,24,4351.650283312628,4966.638921683094,0.13366233064308233,-3332.3506354571255,20.87163489751001
10,pdms,24,195.4181803638742,226.85810870345935,0.006105211998038797,-195.4181803638742,37.06398370417106
11,ps_foam,24,157.04486340855544,222.2070539299959,0.005981330544867086,157.04486340855544,299.2866473229801
12,pu_foam,24,473.4148622047144,1169.5959712175547,0.03147620068396686,473.4148622047144,267.45706806794044
13,titanium,24,4764.54620780135,5709.855314857938,0.15366379176202968,3545.05017668096,58.54049386992365
14,wood,24,893.3404654549864,1543.9432733161875,0.04155064613036485,646.1440932239748,61.949520572620955
