fold,held_out_material,n,mae,rmse,nrmse_training_range,mean_error_bias,median_ape_pct
1,aluminum,24,7876.4709604359,8832.615582314147,0.23770360660855877,-6031.405438199884,37.53513113491126
2,bismuth,24,6419.324118224114,7171.946583501403,0.19301163436975455,6396.471391233044,224.83614024311177
3,cement,24,160.29198690957762,232.21894944209805,0.00624948309940769,79.10649980919153,20.064761204984134
4,copper,24,23001.015501883212,23505.59357914731,0.9825275151061218,-23001.015501883212,61.685331758540855
5,cork,24,163.30822052569548,193.38868985315963,0.005204482027661856,97.97051713166361,105.04774560891062
6,graphite,24,3116.6557914912523,3667.49116592165,0.09869962857776711,-2000.849074777577,27.64920180351984
7,gypsum,24,298.14904000872644,467.62795924057804,0.012584817195606106,271.0042300122664,53.30481529638167
8,iron,24,5016.20134115843,6473.548204947941,0.174216316959571,1246.0422551211545,26.346062273386096
9,nickel,24,4789.860277305282,5755.800451180665,0.15490026860269535,-2509.782303208862,25.75268012809635
10,pdms,24,200.5449182186281,233.9986075831217,0.006297377310891166,-198.7624267513559,42.13751520149793
11,ps_foam,24,99.21754507437657,153.11904701747378,0.004121631679681449,99.21754507437657,120.67466851949295
12,pu_foam,24,118.98313383357004,172.28038985645733,0.004636414846221478,118.98313383357004,228.15803579846755
13,titanium,24,5855.261106203437,6998.5329493198415,0.1883447216194031,4799.860309873235,58.507580588626595
14,wood,24,1378.196891876443,2907.6945682926935,0.07825196051589092,1098.4084231342529,47.90267781032903
