trial_id,Temperature,Sample,Trial,elbow_time,post_elbow_samples,post_elbow_duration
30C__graphite_trial_1,30C,graphite,1,8.600700000000002,111,11.000000000000002
30C__graphite_trial_2,30C,graphite,2,7.50066,115,11.40004
30C__graphite_trial_3,30C,graphite,3,7.9007,119,11.8
30C__graphite_trial_4,30C,graphite,4,7.60066,117,11.600000000000001
30C__graphite_trial_5,30C,graphite,5,8.00066,115,11.399999999999999
30C__graphite_trial_6,30C,graphite,6,8.30066,125,12.400000000000002
40C__aluminum_trial_1,40C,aluminum,1,8.600660000000001,119,11.799999999999997
40C__aluminum_trial_2,40C,aluminum,2,9.2007,117,11.599960000000001
40C__aluminum_trial_3,40C,aluminum,3,10.5007,116,11.500010000000001
40C__aluminum_trial_4,40C,aluminum,4,10.5007,119,11.79996
40C__aluminum_trial_5,40C,aluminum,5,10.40066,123,12.200040000000003
40C__aluminum_trial_6,40C,aluminum,6,14.3007,126,12.500000000000002
40C__bismuth_trial_1,40C,bismuth,1,10.0007,118,11.700000000000001
40C__bismuth_trial_2,40C,bismuth,2,9.70066,113,11.2
40C__bismuth_trial_3,40C,bismuth,3,9.3007,115,11.4
40C__bismuth_trial_4,40C,bismuth,4,11.3007,127,12.599959999999998
40C__bismuth_trial_5,40C,bismuth,5,11.70066,121,12.000000000000004
40C__bismuth_trial_6,40C,bismuth,6,10.8007,120,11.9
40C__copper_trial_1,40C,copper,1,10.100700000000002,124,12.299959999999997
40C__copper_trial_2,40C,copper,2,8.70067,115,11.39999
40C__copper_trial_3,40C,copper,3,9.20066,117,11.600040000000003
40C__copper_trial_4,40C,copper,4,10.0007,124,12.300000000000002
40C__copper_trial_5,40C,copper,5,10.90071,120,11.89996
40C__copper_trial_6,40C,copper,6,10.00067,123,12.199990000000003
40C__iron_trial_1,40C,iron,1,10.100700000000002,119,11.799999999999999
40C__iron_trial_2,40C,iron,2,10.2007,120,11.900000000000004
40C__iron_trial_3,40C,iron,3,8.3007,117,11.599959999999998
40C__iron_trial_4,40C,iron,4,10.600700000000002,120,11.899960000000002
40C__iron_trial_5,40C,iron,5,10.20066,123,12.200040000000001
40C__iron_trial_6,40C,iron,6,10.60066,117,11.600000000000003
40C__nickel_trial_1,40C,nickel,1,16.1007,117,11.600000000000001
40C__nickel_trial_2,40C,nickel,2,9.9007,118,11.69996
40C__nickel_trial_3,40C,nickel,3,10.100700000000002,118,11.700000000000001
40C__nickel_trial_4,40C,nickel,4,11.2007,118,11.700000000000001
40C__nickel_trial_5,40C,nickel,5,10.500660000000002,119,11.800040000000001
40C__nickel_trial_6,40C,nickel,6,9.8007,118,11.699960000000003
40C__titanium_trial_1,40C,titanium,1,8.40066,117,11.600039999999998
40C__titanium_trial_2,40C,titanium,2,8.700660000000001,116,11.50004
40C__titanium_trial_3,40C,titanium,3,9.5007,119,11.800000000000002
40C__titanium_trial_4,40C,titanium,4,11.8007,123,12.199960000000003
40C__titanium_trial_5,40C,titanium,5,10.8007,118,11.699999999999998
40C__titanium_trial_6,40C,titanium,6,10.60066,121,12.000000000000002
50C__graphite_trial_1,50C,graphite,1,8.5007,116,11.49996
50C__graphite_trial_2,50C,graphite,2,8.30066,110,10.90004
50C__graphite_trial_3,50C,graphite,3,8.30067,110,10.900009999999998
50C__graphite_trial_4,50C,graphite,4,9.90066,117,11.600039999999998
50C__graphite_trial_5,50C,graphite,5,9.4007,121,11.999959999999998
50C__graphite_trial_6,50C,graphite,6,8.5007,114,11.300000000000002
60C__graphite_trial_1,60C,graphite,1,8.5007,134,13.300000000000002
60C__graphite_trial_2,60C,graphite,2,8.200700000000001,138,13.7
60C__graphite_trial_3,60C,graphite,3,8.3007,134,13.300000000000002
60C__graphite_trial_4,60C,graphite,4,9.0007,120,11.899959999999998
60C__graphite_trial_5,60C,graphite,5,9.60068,122,12.10004
60C__graphite_trial_6,60C,graphite,6,9.10066,133,13.200000000000001
